Species	Symbol	Ensembl	Family	Protein	Entrez ID
Xenopus_tropicalis	npas3	ENSXETG00000000305	bHLH	ENSXETP00000000610;	-
Xenopus_tropicalis	mta1	ENSXETG00000017948	zf-GATA	ENSXETP00000038916;	-
Xenopus_tropicalis	rfx1	ENSXETG00000005567	RFX	ENSXETP00000012247;	-
Xenopus_tropicalis	tef	ENSXETG00000006333	TF_bZIP	ENSXETP00000013879;	-
Xenopus_tropicalis	myog	ENSXETG00000001704	bHLH	ENSXETP00000003575;	-
Xenopus_tropicalis	ZNF131	ENSXETG00000032207	ZBTB	ENSXETP00000059813;ENSXETP00000059813;	-
Xenopus_tropicalis	dmrta2	ENSXETG00000002846	DM	ENSXETP00000006216;	-
Xenopus_tropicalis	hes4	ENSXETG00000001769	bHLH	ENSXETP00000055937;ENSXETP00000003678;	-
Xenopus_tropicalis	-	ENSXETG00000032715	PAX	ENSXETP00000058784;	-
Xenopus_tropicalis	hmgb1	ENSXETG00000019166	HMG	ENSXETP00000041556;	-
Xenopus_tropicalis	-	ENSXETG00000018108	zf-C2H2	ENSXETP00000039257;	-
Xenopus_tropicalis	-	ENSXETG00000024376	zf-C2H2	ENSXETP00000030122;	-
Xenopus_tropicalis	runx1	ENSXETG00000014140	Runt	ENSXETP00000030875;	-
Xenopus_tropicalis	zbtb17	ENSXETG00000023118	zf-C2H2	ENSXETP00000058717;ENSXETP00000050009;	-
Xenopus_tropicalis	mlxip	ENSXETG00000003773	bHLH	ENSXETP00000060220;ENSXETP00000008179;	-
Xenopus_tropicalis	XB-GENE-5822524	ENSXETG00000024377	zf-C2H2	ENSXETP00000052694;	-
Xenopus_tropicalis	-	ENSXETG00000030031	ETS	ENSXETP00000060017;	-
Xenopus_tropicalis	ventx1	ENSXETG00000034053	Homeobox	ENSXETP00000060875;	-
Xenopus_tropicalis	-	ENSXETG00000008076	zf-C2H2	ENSXETP00000017698;	-
Xenopus_tropicalis	ppara	ENSXETG00000023454	THR-like	ENSXETP00000050646;	-
Xenopus_tropicalis	tbx2	ENSXETG00000020557	T-box	ENSXETP00000044410;	-
Xenopus_tropicalis	znf160	ENSXETG00000027161	zf-C2H2	ENSXETP00000006633;ENSXETP00000060222;	-
Xenopus_tropicalis	jun	ENSXETG00000011124	TF_bZIP	ENSXETP00000024318;	-
Xenopus_tropicalis	dlx4	ENSXETG00000021913	Homeobox	ENSXETP00000047431;	-
Xenopus_tropicalis	sox8	ENSXETG00000005746	HMG	ENSXETP00000012681;	-
Xenopus_tropicalis	dmtf1	ENSXETG00000005412	MYB	ENSXETP00000011914;	-
Xenopus_tropicalis	hic2	ENSXETG00000022419	ZBTB	ENSXETP00000048528;ENSXETP00000048528;	-
Xenopus_tropicalis	gcm2	ENSXETG00000001068	GCM	ENSXETP00000002324;	-
Xenopus_tropicalis	srebf1	ENSXETG00000012160	bHLH	ENSXETP00000026547;	-
Xenopus_tropicalis	emx1	ENSXETG00000017958	Homeobox	ENSXETP00000038936;	-
Xenopus_tropicalis	-	ENSXETG00000011157	zf-C2H2	ENSXETP00000025621;	-
Xenopus_tropicalis	nr2e1	ENSXETG00000014853	RXR-like	ENSXETP00000032507;	-
Xenopus_tropicalis	litaf	ENSXETG00000024896	zf-LITAF-like	ENSXETP00000053520;	-
Xenopus_tropicalis	batf	ENSXETG00000013235	TF_bZIP	ENSXETP00000028965;	-
Xenopus_tropicalis	lhx1	ENSXETG00000008963	Homeobox	ENSXETP00000019633;ENSXETP00000058911;	-
Xenopus_tropicalis	MGC145244	ENSXETG00000031841	THAP	ENSXETP00000061716;	-
Xenopus_tropicalis	rarg	ENSXETG00000012670	THR-like	ENSXETP00000027722;	-
Xenopus_tropicalis	gbx2	ENSXETG00000003290	Homeobox	ENSXETP00000007133;ENSXETP00000059033;	-
Xenopus_tropicalis	tcf7l1	ENSXETG00000019015	HMG	ENSXETP00000045614;	-
Xenopus_tropicalis	meis3	ENSXETG00000002807	Homeobox	ENSXETP00000006113;	-
Xenopus_tropicalis	hnf4b	ENSXETG00000016389	RXR-like	ENSXETP00000035778;	-
Xenopus_tropicalis	irf5	ENSXETG00000015005	IRF	ENSXETP00000032816;	-
Xenopus_tropicalis	tbr1	ENSXETG00000016201	T-box	ENSXETP00000035364;	-
Xenopus_tropicalis	hbox10	ENSXETG00000017356	Homeobox	ENSXETP00000037787;ENSXETP00000059132;	-
Xenopus_tropicalis	-	ENSXETG00000033030	HSF	ENSXETP00000059239;ENSXETP00000062660;	-
Xenopus_tropicalis	-	ENSXETG00000031726	zf-C2H2	ENSXETP00000032983;	-
Xenopus_tropicalis	-	ENSXETG00000023996	zf-C2H2	ENSXETP00000051722;	-
Xenopus_tropicalis	adnp	ENSXETG00000012300	Homeobox	ENSXETP00000026894;	-
Xenopus_tropicalis	-	ENSXETG00000017455	zf-C2H2	ENSXETP00000037946;	-
Xenopus_tropicalis	hoxb8	ENSXETG00000021993	Homeobox	ENSXETP00000062041;	-
Xenopus_tropicalis	tada2b	ENSXETG00000022903	MYB	ENSXETP00000049524;	-
Xenopus_tropicalis	scx	ENSXETG00000005692	bHLH	ENSXETP00000012535;	-
Xenopus_tropicalis	nkx6-3	ENSXETG00000016802	Homeobox	ENSXETP00000036641;	-
Xenopus_tropicalis	ppard	ENSXETG00000015121	THR-like	ENSXETP00000033104;	-
Xenopus_tropicalis	hsf2	ENSXETG00000034261	HSF	ENSXETP00000023575;ENSXETP00000023574;	-
Xenopus_tropicalis	foxd3	ENSXETG00000010836	Fork_head	ENSXETP00000023699;	-
Xenopus_tropicalis	esrrb	ENSXETG00000013217	ESR-like	ENSXETP00000028937;	-
Xenopus_tropicalis	trerf1	ENSXETG00000000198	zf-C2H2	ENSXETP00000000414;	-
Xenopus_tropicalis	zbtb44	ENSXETG00000017921	ZBTB	ENSXETP00000038830;ENSXETP00000038830;	-
Xenopus_tropicalis	gbx2	ENSXETG00000003293	Homeobox	ENSXETP00000007145;	-
Xenopus_tropicalis	ZBTB22	ENSXETG00000031109	ZBTB	ENSXETP00000043955;ENSXETP00000043955;	-
Xenopus_tropicalis	tulp2	ENSXETG00000021227	Tub	ENSXETP00000045901;	-
Xenopus_tropicalis	smarcc2	ENSXETG00000009486	MYB	ENSXETP00000020949;ENSXETP00000020938;	-
Xenopus_tropicalis	znf527	ENSXETG00000025955	zf-C2H2	ENSXETP00000014210;ENSXETP00000044973;ENSXETP00000034620;	-
Xenopus_tropicalis	esrra	ENSXETG00000007211	ESR-like	ENSXETP00000015699;	-
Xenopus_tropicalis	elk1	ENSXETG00000024193	ETS	ENSXETP00000052204;	-
Xenopus_tropicalis	zbtb47	ENSXETG00000006162	ZBTB	ENSXETP00000013567;ENSXETP00000013567;	-
Xenopus_tropicalis	prdm2	ENSXETG00000026865	zf-C2H2	ENSXETP00000029501;ENSXETP00000029499;	-
Xenopus_tropicalis	ZNF513	ENSXETG00000031268	zf-C2H2	ENSXETP00000063901;	-
Xenopus_tropicalis	-	ENSXETG00000030476	zf-C2H2	ENSXETP00000030080;	-
Xenopus_tropicalis	hsf2	ENSXETG00000023290	HSF	ENSXETP00000050320;	-
Xenopus_tropicalis	terf2	ENSXETG00000031339	MYB	ENSXETP00000059331;	-
Xenopus_tropicalis	neurog2	ENSXETG00000024100	bHLH	ENSXETP00000052002;	-
Xenopus_tropicalis	zbed4	ENSXETG00000014526	zf-BED	ENSXETP00000031783;	-
Xenopus_tropicalis	jund	ENSXETG00000010199	TF_bZIP	ENSXETP00000022488;	-
Xenopus_tropicalis	PRDM16	ENSXETG00000012050	zf-C2H2	ENSXETP00000026324;	-
Xenopus_tropicalis	nr1d2	ENSXETG00000003869	THR-like	ENSXETP00000008395;ENSXETP00000008391;	-
Xenopus_tropicalis	tp63	ENSXETG00000026303	P53	ENSXETP00000055541;	-
Xenopus_tropicalis	arnt	ENSXETG00000008942	bHLH	ENSXETP00000019591;ENSXETP00000063126;	-
Xenopus_tropicalis	-	ENSXETG00000000656	zf-C2H2	ENSXETP00000001444;	-
Xenopus_tropicalis	gatad1	ENSXETG00000018528	zf-GATA	ENSXETP00000040101;	-
Xenopus_tropicalis	mtf1	ENSXETG00000014429	zf-C2H2	ENSXETP00000031575;	-
Xenopus_tropicalis	-	ENSXETG00000027151	zf-C2H2	ENSXETP00000059958;	-
Xenopus_tropicalis	zfpm2	ENSXETG00000006505	zf-C2H2	ENSXETP00000014241;	-
Xenopus_tropicalis	id4	ENSXETG00000025736	bHLH	ENSXETP00000054646;	-
Xenopus_tropicalis	foxj1	ENSXETG00000019549	Fork_head	ENSXETP00000042292;	-
Xenopus_tropicalis	bcl6	ENSXETG00000019779	ZBTB	ENSXETP00000042809;ENSXETP00000042809;	-
Xenopus_tropicalis	nr4a2	ENSXETG00000024016	NGFIB-like	ENSXETP00000026170;	-
Xenopus_tropicalis	rreb1	ENSXETG00000015435	zf-C2H2	ENSXETP00000033688;	-
Xenopus_tropicalis	BBX	ENSXETG00000016131	HMG	ENSXETP00000035184;	-
Xenopus_tropicalis	nfyb	ENSXETG00000019656	NF-YB	ENSXETP00000042557;	-
Xenopus_tropicalis	foxr1	ENSXETG00000021565	Fork_head	ENSXETP00000046597;ENSXETP00000062926;	-
Xenopus_tropicalis	foxi4	ENSXETG00000001935	Fork_head	ENSXETP00000058295;ENSXETP00000004119;	-
Xenopus_tropicalis	hoxa1	ENSXETG00000000715	Homeobox	ENSXETP00000001600;	-
Xenopus_tropicalis	plag1	ENSXETG00000005654	zf-C2H2	ENSXETP00000012477;	-
Xenopus_tropicalis	dlx3	ENSXETG00000021919	Homeobox	ENSXETP00000047434;	-
Xenopus_tropicalis	atoh7	ENSXETG00000023575	bHLH	ENSXETP00000050876;	-
Xenopus_tropicalis	-	ENSXETG00000033102	ZBTB	ENSXETP00000061632;ENSXETP00000061632;	-
Xenopus_tropicalis	runx3	ENSXETG00000001029	Runt	ENSXETP00000002249;	-
Xenopus_tropicalis	foxd4l1	ENSXETG00000001668	Fork_head	ENSXETP00000003509;	-
Xenopus_tropicalis	pax6	ENSXETG00000008175	PAX	ENSXETP00000017930;ENSXETP00000017931;	-
Xenopus_tropicalis	vezf1	ENSXETG00000008951	zf-C2H2	ENSXETP00000019604;ENSXETP00000058531;	-
Xenopus_tropicalis	nr6a1	ENSXETG00000008578	GCNF-like	ENSXETP00000018759;	-
Xenopus_tropicalis	msx2	ENSXETG00000009168	Homeobox	ENSXETP00000020130;	-
Xenopus_tropicalis	znf526	ENSXETG00000033486	zf-C2H2	ENSXETP00000062020;	-
Xenopus_tropicalis	sox7	ENSXETG00000000693	HMG	ENSXETP00000001530;	-
Xenopus_tropicalis	ikzf1	ENSXETG00000015684	zf-C2H2	ENSXETP00000034226;	-
Xenopus_tropicalis	foxm1	ENSXETG00000001315	Fork_head	ENSXETP00000002814;	-
Xenopus_tropicalis	yy1	ENSXETG00000002527	zf-C2H2	ENSXETP00000005380;	-
Xenopus_tropicalis	runx2	ENSXETG00000001397	Runt	ENSXETP00000002966;ENSXETP00000060162;	-
Xenopus_tropicalis	maff	ENSXETG00000006355	TF_bZIP	ENSXETP00000013917;	-
Xenopus_tropicalis	esrrg	ENSXETG00000020932	ESR-like	ENSXETP00000045243;ENSXETP00000045241;	-
Xenopus_tropicalis	foxk2	ENSXETG00000022803	Fork_head	ENSXETP00000049340;	-
Xenopus_tropicalis	msgn1	ENSXETG00000015571	bHLH	ENSXETP00000033971;	-
Xenopus_tropicalis	sub1	ENSXETG00000027218	PC4	ENSXETP00000032004;	-
Xenopus_tropicalis	-	ENSXETG00000013826	bHLH	ENSXETP00000030260;ENSXETP00000062388;	-
Xenopus_tropicalis	-	ENSXETG00000002252	zf-C2H2	ENSXETP00000052340;	-
Xenopus_tropicalis	CEBPE	ENSXETG00000032559	TF_bZIP	ENSXETP00000061462;	-
Xenopus_tropicalis	pou5f3	ENSXETG00000026475	Pou	ENSXETP00000008659;	-
Xenopus_tropicalis	hif1a	ENSXETG00000014449	bHLH	ENSXETP00000031610;ENSXETP00000061452;	-
Xenopus_tropicalis	znf646	ENSXETG00000001910	zf-C2H2	ENSXETP00000004051;ENSXETP00000062915;	-
Xenopus_tropicalis	hes3	ENSXETG00000011111	bHLH	ENSXETP00000024269;	-
Xenopus_tropicalis	ventx3	ENSXETG00000032888	Homeobox	ENSXETP00000061405;	-
Xenopus_tropicalis	irx3	ENSXETG00000005818	Homeobox	ENSXETP00000012797;	-
Xenopus_tropicalis	-	ENSXETG00000030603	zf-C2H2	ENSXETP00000062881;ENSXETP00000025412;ENSXETP00000060324;	-
Xenopus_tropicalis	cdx1	ENSXETG00000010282	Homeobox	ENSXETP00000022650;	-
Xenopus_tropicalis	-	ENSXETG00000032094	zf-C2H2	ENSXETP00000060616;	-
Xenopus_tropicalis	tcf4	ENSXETG00000019086	bHLH	ENSXETP00000041379;	-
Xenopus_tropicalis	-	ENSXETG00000023597	zf-C2H2	ENSXETP00000052702;	-
Xenopus_tropicalis	esr2	ENSXETG00000007257	ESR-like	ENSXETP00000015773;	-
Xenopus_tropicalis	znf184	ENSXETG00000016062	zf-C2H2	ENSXETP00000035023;	-
Xenopus_tropicalis	cebpa	ENSXETG00000018291	TF_bZIP	ENSXETP00000039633;	-
Xenopus_tropicalis	foxa1	ENSXETG00000025867	Fork_head	ENSXETP00000026943;	-
Xenopus_tropicalis	MAFB	ENSXETG00000032746	TF_bZIP	ENSXETP00000060163;	-
Xenopus_tropicalis	ssrp1	ENSXETG00000000781	HMG	ENSXETP00000001746;	-
Xenopus_tropicalis	smad6	ENSXETG00000015939	MH1	ENSXETP00000034783;	-
Xenopus_tropicalis	tbx5	ENSXETG00000017688	T-box	ENSXETP00000059243;ENSXETP00000038381;	-
Xenopus_tropicalis	-	ENSXETG00000020822	zf-C2H2	ENSXETP00000044971;ENSXETP00000014540;	-
Xenopus_tropicalis	-	ENSXETG00000034162	zf-C2H2	ENSXETP00000019060;ENSXETP00000019061;	-
Xenopus_tropicalis	max	ENSXETG00000007650	bHLH	ENSXETP00000016649;ENSXETP00000063500;ENSXETP00000016650;	-
Xenopus_tropicalis	zeb2	ENSXETG00000000237	zf-C2H2	ENSXETP00000000500;ENSXETP00000000500;	-
Xenopus_tropicalis	gsx2	ENSXETG00000021030	Homeobox	ENSXETP00000045469;	-
Xenopus_tropicalis	-	ENSXETG00000031959	MYB	ENSXETP00000060173;	-
Xenopus_tropicalis	cebpb	ENSXETG00000012286	TF_bZIP	ENSXETP00000026860;	-
Xenopus_tropicalis	-	ENSXETG00000034023	zf-C2H2	ENSXETP00000052316;	-
Xenopus_tropicalis	-	ENSXETG00000011203	zf-C2H2	ENSXETP00000024469;	-
Xenopus_tropicalis	-	ENSXETG00000030741	zf-C2H2	ENSXETP00000061273;	-
Xenopus_tropicalis	-	ENSXETG00000032305	zf-C2H2	ENSXETP00000059079;	-
Xenopus_tropicalis	tbx20	ENSXETG00000013110	T-box	ENSXETP00000028708;	-
Xenopus_tropicalis	figla	ENSXETG00000024917	bHLH	ENSXETP00000053560;	-
Xenopus_tropicalis	stat2	ENSXETG00000021830	STAT	ENSXETP00000047251;ENSXETP00000047227;	-
Xenopus_tropicalis	tbx3	ENSXETG00000006579	T-box	ENSXETP00000014399;ENSXETP00000014392;	-
Xenopus_tropicalis	lhx2	ENSXETG00000020776	Homeobox	ENSXETP00000044889;	-
Xenopus_tropicalis	-	ENSXETG00000031298	Homeobox	ENSXETP00000054169;	-
Xenopus_tropicalis	atf1	ENSXETG00000007299	TF_bZIP	ENSXETP00000019372;ENSXETP00000015891;	-
Xenopus_tropicalis	-	ENSXETG00000033259	zf-C2H2	ENSXETP00000032830;	-
Xenopus_tropicalis	alx4	ENSXETG00000007545	Homeobox	ENSXETP00000060889;ENSXETP00000016438;	-
Xenopus_tropicalis	cux1	ENSXETG00000005476	CUT	ENSXETP00000012039;	-
Xenopus_tropicalis	ONECUT3	ENSXETG00000032205	CUT	ENSXETP00000061649;	-
Xenopus_tropicalis	-	ENSXETG00000002087	zf-C2H2	ENSXETP00000004468;	-
Xenopus_tropicalis	foxo3	ENSXETG00000014847	Fork_head	ENSXETP00000032495;	-
Xenopus_tropicalis	pou3f2	ENSXETG00000028057	Pou	ENSXETP00000013683;	-
Xenopus_tropicalis	lmx1b	ENSXETG00000000641	Homeobox	ENSXETP00000001419;	-
Xenopus_tropicalis	bcl11b	ENSXETG00000011434	zf-C2H2	ENSXETP00000024969;ENSXETP00000060071;	-
Xenopus_tropicalis	tfap2e	ENSXETG00000027719	AP-2	ENSXETP00000021288;	-
Xenopus_tropicalis	EBF1	ENSXETG00000031092	COE	ENSXETP00000063879;	-
Xenopus_tropicalis	arnt2	ENSXETG00000012988	bHLH	ENSXETP00000028478;ENSXETP00000028476;	-
Xenopus_tropicalis	-	ENSXETG00000031331	zf-C2H2	ENSXETP00000060649;ENSXETP00000063989;	-
Xenopus_tropicalis	sox9	ENSXETG00000022348	HMG	ENSXETP00000048344;	-
Xenopus_tropicalis	bnc2	ENSXETG00000018036	zf-C2H2	ENSXETP00000039103;	-
Xenopus_tropicalis	zbtb2	ENSXETG00000012362	ZBTB	ENSXETP00000027029;ENSXETP00000027029;	-
Xenopus_tropicalis	foxo6	ENSXETG00000012944	Fork_head	ENSXETP00000028352;	-
Xenopus_tropicalis	zmiz2	ENSXETG00000018991	zf-MIZ	ENSXETP00000041191;	-
Xenopus_tropicalis	pax3	ENSXETG00000007640	PAX	ENSXETP00000016629;ENSXETP00000016628;	-
Xenopus_tropicalis	-	ENSXETG00000033745	Homeobox	ENSXETP00000058905;	-
Xenopus_tropicalis	mespb	ENSXETG00000027628	bHLH	ENSXETP00000057543;	-
Xenopus_tropicalis	thap1	ENSXETG00000010197	THAP	ENSXETP00000022480;	-
Xenopus_tropicalis	sox13	ENSXETG00000017139	HMG	ENSXETP00000037344;ENSXETP00000060966;	-
Xenopus_tropicalis	klf3	ENSXETG00000018476	zf-C2H2	ENSXETP00000040003;	-
Xenopus_tropicalis	foxd2	ENSXETG00000016337	Fork_head	ENSXETP00000035661;	-
Xenopus_tropicalis	-	ENSXETG00000012675	zf-C2H2	ENSXETP00000027729;	-
Xenopus_tropicalis	nkx1-2	ENSXETG00000023620	Homeobox	ENSXETP00000050958;	-
Xenopus_tropicalis	mxi1	ENSXETG00000018714	bHLH	ENSXETP00000040530;	-
Xenopus_tropicalis	foxc1	ENSXETG00000000594	Fork_head	ENSXETP00000001313;	-
Xenopus_tropicalis	zfp36	ENSXETG00000002899	zf-CCCH	ENSXETP00000006345;	-
Xenopus_tropicalis	-	ENSXETG00000030967	zf-C2H2	ENSXETP00000062240;	-
Xenopus_tropicalis	rcor1	ENSXETG00000012743	MYB	ENSXETP00000027860;	-
Xenopus_tropicalis	tulp3	ENSXETG00000001314	Tub	ENSXETP00000047604;ENSXETP00000002808;	-
Xenopus_tropicalis	arid2	ENSXETG00000014656	ARID	ENSXETP00000032105;	-
Xenopus_tropicalis	e2f4	ENSXETG00000003083	E2F	ENSXETP00000006698;	-
Xenopus_tropicalis	hmx3	ENSXETG00000009562	Homeobox	ENSXETP00000021090;	-
Xenopus_tropicalis	-	ENSXETG00000002717	zf-C2H2	ENSXETP00000023665;	-
Xenopus_tropicalis	zbtb6	ENSXETG00000020530	ZBTB	ENSXETP00000044357;ENSXETP00000044357;ENSXETP00000060560;ENSXETP00000060560;	-
Xenopus_tropicalis	pasd1	ENSXETG00000002385	bHLH	ENSXETP00000005089;	-
Xenopus_tropicalis	znf717	ENSXETG00000015004	zf-C2H2	ENSXETP00000032822;	-
Xenopus_tropicalis	smarcc1	ENSXETG00000014492	MYB	ENSXETP00000031732;	-
Xenopus_tropicalis	znf347	ENSXETG00000004898	zf-C2H2	ENSXETP00000010647;	-
Xenopus_tropicalis	ubp1	ENSXETG00000023707	CP2	ENSXETP00000040787;ENSXETP00000051143;	-
Xenopus_tropicalis	tfdp1	ENSXETG00000017776	E2F	ENSXETP00000038552;	-
Xenopus_tropicalis	-	ENSXETG00000031156	zf-C2H2	ENSXETP00000030017;ENSXETP00000050930;ENSXETP00000032989;	-
Xenopus_tropicalis	nsd2	ENSXETG00000026376	HMG	ENSXETP00000055635;ENSXETP00000005100;	-
Xenopus_tropicalis	ehf	ENSXETG00000007559	ETS	ENSXETP00000016466;	-
Xenopus_tropicalis	mnt	ENSXETG00000019434	bHLH	ENSXETP00000063987;ENSXETP00000042105;	-
Xenopus_tropicalis	tcf3	ENSXETG00000013589	bHLH	ENSXETP00000036113;	-
Xenopus_tropicalis	irf6	ENSXETG00000018661	IRF	ENSXETP00000040399;	-
