chr	start	end	strand	gene_ID	gene_type	gene_short_name
chr1	5588466	5606131	+	ENSMUSG00000025905	protein_coding	Oprk1
chr1	5617837	5618230	-	ENSMUSG00000103936	processed_pseudogene	Gm36965
chr1	5644645	5644745	-	ENSMUSG00000093015	miRNA	Gm22463
chr1	5842874	5844672	-	ENSMUSG00000103519	TEC	Gm37429
chr1	5913707	5917398	-	ENSMUSG00000033774	protein_coding	Npbwr1
chr1	6048963	6050045	-	ENSMUSG00000103090	processed_pseudogene	Gm19214
chr1	6206197	6276648	+	ENSMUSG00000025907	protein_coding	Rb1cc1
chr1	6209866	6215293	-	ENSMUSG00000090031	antisense	4732440D04Rik
chr1	6359218	6394731	+	ENSMUSG00000087247	protein_coding	Fam150a
chr1	6380394	6381032	+	ENSMUSG00000103355	processed_pseudogene	Gm2147
chr1	6382634	6383106	-	ENSMUSG00000102706	processed_pseudogene	Gm7417
chr1	6429655	6441296	-	ENSMUSG00000103845	processed_pseudogene	Gm19026
chr1	6487231	6860940	+	ENSMUSG00000033740	protein_coding	St18
chr1	6861237	6864151	-	ENSMUSG00000103329	TEC	Gm42492
chr1	6910560	6911222	+	ENSMUSG00000104385	processed_pseudogene	Gm7449
chr1	6916559	6923588	+	ENSMUSG00000102135	processed_pseudogene	Gm37108
chr1	6929759	6929788	+	ENSMUSG00000103282	processed_pseudogene	Gm37275
chr1	6998217	6998541	+	ENSMUSG00000102534	processed_pseudogene	Gm37225
chr1	7013762	7013920	+	ENSMUSG00000102213	processed_pseudogene	Gm37489
chr1	7035915	7037217	+	ENSMUSG00000103629	processed_pseudogene	Gm5694
chr1	7088920	7173628	+	ENSMUSG00000051285	protein_coding	Pcmtd1
chr1	7136199	7136586	-	ENSMUSG00000098201	processed_pseudogene	Gm26983
chr1	7148110	7152137	+	ENSMUSG00000103509	TEC	Gm38372
chr1	7177739	7179037	+	ENSMUSG00000048538	processed_pseudogene	Gm9826
chr1	7189742	7189919	-	ENSMUSG00000103709	processed_pseudogene	Nras-ps2
chr1	7265803	7265932	+	ENSMUSG00000077244	snoRNA	Gm23274
chr1	7315451	7316462	+	ENSMUSG00000102768	processed_pseudogene	Gm19002
chr1	7349406	7397869	-	ENSMUSG00000097797	lincRNA	Gm26901
chr1	7410679	7411993	+	ENSMUSG00000103498	processed_pseudogene	Gm18984
chr1	7497968	7518149	+	ENSMUSG00000103067	lincRNA	Gm30414
chr1	7591646	7591931	+	ENSMUSG00000102320	processed_pseudogene	Gm37791
chr1	7597379	7599473	+	ENSMUSG00000104226	processed_pseudogene	Gm7470
chr1	7664081	7664961	+	ENSMUSG00000103903	processed_pseudogene	Rps2-ps2
chr1	7728861	7730565	-	ENSMUSG00000103557	processed_pseudogene	Gm38216
chr1	8361475	9299878	-	ENSMUSG00000025909	protein_coding	Sntg1
chr1	8450960	8453491	-	ENSMUSG00000102647	TEC	Gm38024
chr1	8468426	8468825	-	ENSMUSG00000086235	processed_pseudogene	Gm16284
chr1	8527780	8531313	-	ENSMUSG00000102253	TEC	Gm38259
chr1	8588615	8588724	-	ENSMUSG00000093970	miRNA	Gm23358
chr1	8643696	8644859	-	ENSMUSG00000103884	TEC	Gm37005
chr1	8791923	8792162	-	ENSMUSG00000084353	processed_pseudogene	Gm15452
chr1	8815842	8816039	+	ENSMUSG00000103933	processed_pseudogene	Gm36964
chr1	8816138	8816247	+	ENSMUSG00000076135	miRNA	Gm24276
chr1	8855928	8856267	-	ENSMUSG00000086195	processed_pseudogene	Gm6152
chr1	8856763	8857102	+	ENSMUSG00000104504	processed_pseudogene	Gm7445
chr1	8962996	8963621	-	ENSMUSG00000066693	processed_pseudogene	Gm7493
chr1	9191067	9192116	-	ENSMUSG00000102316	TEC	Gm37629
chr1	9258617	9259134	-	ENSMUSG00000103819	processed_pseudogene	Gm38008
chr1	9286922	9290180	+	ENSMUSG00000102871	TEC	Gm37143
chr1	9396773	9398687	-	ENSMUSG00000101571	processed_pseudogene	Gm6187
chr1	9439741	9440376	-	ENSMUSG00000104428	processed_pseudogene	Gm18299
chr1	9450579	9451748	+	ENSMUSG00000102272	processed_pseudogene	Gm7512
chr1	9458670	9458772	+	ENSMUSG00000065625	snRNA	Gm24765
chr1	9499338	9501522	-	ENSMUSG00000103411	processed_pseudogene	Gm18300
chr1	9545408	9547455	+	ENSMUSG00000061024	protein_coding	Rrs1
chr1	9547948	9580673	+	ENSMUSG00000025911	protein_coding	Adhfe1
chr1	9560832	9631175	-	ENSMUSG00000079671	processed_transcript	2610203C22Rik
chr1	9574548	9575649	+	ENSMUSG00000081441	processed_pseudogene	Gm6161
chr1	9601199	9627143	+	ENSMUSG00000067879	protein_coding	3110035E14Rik
chr1	9639255	9640582	-	ENSMUSG00000099827	lincRNA	Gm29520
chr1	9667415	9700209	-	ENSMUSG00000025912	protein_coding	Mybl1
chr1	9718622	9748382	-	ENSMUSG00000045210	protein_coding	Vcpip1
chr1	9747648	9791924	+	ENSMUSG00000097893	antisense	1700034P13Rik
chr1	9798107	9900845	+	ENSMUSG00000025915	protein_coding	Sgk3
chr1	9802197	9802553	-	ENSMUSG00000046334	processed_pseudogene	Gm6195
chr1	9834498	9834602	-	ENSMUSG00000088916	snRNA	Gm22607
chr1	9908638	9942085	+	ENSMUSG00000046101	protein_coding	Mcmdc2
chr1	9941959	9944118	-	ENSMUSG00000098234	lincRNA	Snhg6
chr1	9942463	9942549	-	ENSMUSG00000093178	snoRNA	Snord87
chr1	9960163	9967932	-	ENSMUSG00000099032	protein_coding	Tcf24
chr1	9967314	9968687	+	ENSMUSG00000104025	TEC	E330040D14Rik
chr1	9968624	10009136	-	ENSMUSG00000025916	protein_coding	Ppp1r42
chr1	9982387	9992366	+	ENSMUSG00000087199	antisense	Gm15818
chr1	10009814	10009917	-	ENSMUSG00000095780	snRNA	Gm24674
chr1	10024601	10038168	-	ENSMUSG00000025917	protein_coding	Cops5
chr1	10037987	10136768	+	ENSMUSG00000056763	protein_coding	Cspp1
chr1	10057025	10057944	-	ENSMUSG00000102356	TEC	1700047N06Rik
chr1	10137571	10232670	-	ENSMUSG00000067851	protein_coding	Arfgef1
chr1	10166539	10166778	+	ENSMUSG00000088153	misc_RNA	Gm26348
chr1	10197081	10198802	-	ENSMUSG00000102556	TEC	Gm37569
chr1	10324720	10719945	-	ENSMUSG00000042501	protein_coding	Cpa6
chr1	10449245	10451989	-	ENSMUSG00000103810	TEC	Gm38005
chr1	10554098	10555553	-	ENSMUSG00000083422	processed_pseudogene	Gm15604
chr1	10555554	10555660	-	ENSMUSG00000094979	snRNA	Gm25253
chr1	10695123	10695614	+	ENSMUSG00000081417	processed_pseudogene	Gm15603
chr1	10782456	10784377	-	ENSMUSG00000103448	TEC	Gm37133
chr1	10805281	10806522	+	ENSMUSG00000100212	processed_pseudogene	Gm5522
chr1	10868688	10869446	+	ENSMUSG00000100648	processed_pseudogene	Gm28659
chr1	10921670	10921760	+	ENSMUSG00000088585	snoRNA	Gm22963
chr1	10993465	11303681	+	ENSMUSG00000048960	protein_coding	Prex2
chr1	11134111	11134238	-	ENSMUSG00000077318	snoRNA	Gm24173
chr1	11223566	11224174	-	ENSMUSG00000101827	processed_pseudogene	Gm28686
chr1	11363926	11366964	-	ENSMUSG00000103494	TEC	Gm37410
chr1	11414105	11975901	+	ENSMUSG00000057715	protein_coding	A830018L16Rik
chr1	11416918	11419388	+	ENSMUSG00000103825	TEC	Gm38178
chr1	11608139	11608400	-	ENSMUSG00000099845	processed_pseudogene	Gm29273
chr1	11704207	11706350	+	ENSMUSG00000103561	TEC	Gm38069
chr1	12120960	12121832	+	ENSMUSG00000101610	processed_pseudogene	Gm7560
chr1	12374936	12375042	+	ENSMUSG00000093864	snRNA	Gm22633
chr1	12425986	12426106	+	ENSMUSG00000098555	miRNA	Mir6341
chr1	12565577	12566383	+	ENSMUSG00000097628	processed_pseudogene	Gm2383
chr1	12655867	12656553	+	ENSMUSG00000098163	processed_pseudogene	Gm6216
chr1	12667563	12673090	+	ENSMUSG00000097171	lincRNA	Gm17644
chr1	12670324	12671176	-	ENSMUSG00000101314	lincRNA	Gm29663
chr1	12692277	12861192	+	ENSMUSG00000016918	protein_coding	Sulf1
chr1	12866549	12992650	-	ENSMUSG00000025938	protein_coding	Slco5a1
chr1	13059401	13059951	-	ENSMUSG00000104518	TEC	Gm37162
chr1	13062025	13062345	+	ENSMUSG00000069620	processed_pseudogene	Gm5250
chr1	13068838	13078662	+	ENSMUSG00000099498	lincRNA	Gm29283
chr1	13113457	13127163	-	ENSMUSG00000042414	protein_coding	Prdm14
chr1	13139105	13374083	-	ENSMUSG00000005886	protein_coding	Ncoa2
chr1	13177462	13179714	-	ENSMUSG00000103506	TEC	Gm38376
chr1	13234809	13236434	-	ENSMUSG00000103495	TEC	Gm37409
chr1	13262198	13262279	+	ENSMUSG00000099183	miRNA	Gm27881
chr1	13289812	13290506	-	ENSMUSG00000102639	TEC	Gm38223
chr1	13297036	13298907	-	ENSMUSG00000104170	TEC	Gm37702
chr1	13334498	13334609	-	ENSMUSG00000087782	snRNA	Gm23169
chr1	13343563	13348204	-	ENSMUSG00000103085	TEC	Gm38120
chr1	13354483	13356730	-	ENSMUSG00000102664	TEC	Gm38380
chr1	13376070	13388413	+	ENSMUSG00000101476	antisense	Gm29570
chr1	13407012	13407655	-	ENSMUSG00000101171	processed_pseudogene	Gm7593
chr1	13564698	13589910	-	ENSMUSG00000025935	protein_coding	Tram1
chr1	13623330	13660546	-	ENSMUSG00000025937	protein_coding	Lactb2
chr1	13641483	13642748	-	ENSMUSG00000102982	TEC	Gm38319
chr1	13668771	13701723	+	ENSMUSG00000067813	protein_coding	Xkr9
chr1	13774334	13774464	-	ENSMUSG00000077368	snoRNA	Gm26273
chr1	13785883	13786879	-	ENSMUSG00000097711	processed_pseudogene	Gm5523
chr1	13846871	13849119	-	ENSMUSG00000102166	TEC	Gm36947
chr1	13932378	13932685	+	ENSMUSG00000089358	misc_RNA	Gm25491
chr1	14109215	14112819	-	ENSMUSG00000104209	TEC	Gm37400
chr1	14168954	14310235	-	ENSMUSG00000025932	protein_coding	Eya1
chr1	14182578	14182677	+	ENSMUSG00000095853	miRNA	Gm22616
chr1	14255552	14255990	-	ENSMUSG00000102588	TEC	Gm37444
chr1	14752937	14776931	+	ENSMUSG00000054493	antisense	Gm9947
chr1	14753346	14755992	-	ENSMUSG00000025930	protein_coding	Msc
chr1	14788645	14792965	+	ENSMUSG00000103492	TEC	Gm37412
chr1	14839869	14840156	-	ENSMUSG00000081201	processed_pseudogene	Smt3h2-ps4
chr1	14865072	14865965	+	ENSMUSG00000082193	processed_pseudogene	Rpl5-ps1
chr1	14872648	14918862	-	ENSMUSG00000032769	protein_coding	Trpa1
chr1	15019040	15019159	-	ENSMUSG00000088159	snoRNA	Gm26345
chr1	15268802	15269797	-	ENSMUSG00000073737	processed_pseudogene	Gm10566
chr1	15287254	15723750	+	ENSMUSG00000092083	protein_coding	Kcnb2
chr1	15364302	15365834	+	ENSMUSG00000102937	TEC	Gm38116
chr1	15556249	15558337	+	ENSMUSG00000104149	TEC	Gm37138
chr1	15685935	15686046	-	ENSMUSG00000088829	snoRNA	Gm25227
chr1	15757832	15757963	+	ENSMUSG00000077377	snoRNA	Gm25168
chr1	15760122	15760668	-	ENSMUSG00000101652	processed_pseudogene	Gm6060
chr1	15760761	15760860	+	ENSMUSG00000100814	processed_pseudogene	Gm28669
chr1	15805646	15844052	+	ENSMUSG00000025925	protein_coding	Terf1
chr1	15853331	15856499	+	ENSMUSG00000104379	TEC	Gm37509
chr1	15853862	15892722	-	ENSMUSG00000032719	protein_coding	Sbspon
chr1	15879530	15879832	+	ENSMUSG00000088943	misc_RNA	Gm23259
chr1	16053335	16053887	+	ENSMUSG00000100652	processed_pseudogene	Gm7634
chr1	16065979	16093325	-	ENSMUSG00000067795	protein_coding	4930444P10Rik
chr1	16101295	16104662	-	ENSMUSG00000043716	protein_coding	Rpl7
chr1	16105774	16133734	+	ENSMUSG00000025921	protein_coding	Rdh10
chr1	16208197	16210517	-	ENSMUSG00000104165	TEC	Gm38249
chr1	16228506	16244062	+	ENSMUSG00000100868	antisense	Gm28095
chr1	16228674	16520112	-	ENSMUSG00000025920	protein_coding	Stau2
chr1	16253592	16267921	+	ENSMUSG00000089982	antisense	Gm7568
chr1	16540790	16619489	-	ENSMUSG00000025939	protein_coding	Ube2w
chr1	16618560	16621539	+	ENSMUSG00000102457	TEC	Gm38342
chr1	16641725	16657042	-	ENSMUSG00000079658	protein_coding	Tceb1
chr1	16657552	16662278	+	ENSMUSG00000097744	lincRNA	D030040B21Rik
chr1	16662980	16663662	-	ENSMUSG00000100959	processed_pseudogene	Gm7654
chr1	16665207	16678275	+	ENSMUSG00000025940	protein_coding	Tmem70
chr1	16688051	16709611	+	ENSMUSG00000025779	protein_coding	Ly96
chr1	16758205	16758623	-	ENSMUSG00000100093	processed_pseudogene	Gm29649
chr1	16768279	16770138	-	ENSMUSG00000091020	processed_pseudogene	Gm5828
chr1	16898185	17091631	+	ENSMUSG00000101640	antisense	Gm28376
chr1	16930970	16931796	+	ENSMUSG00000104133	TEC	4921511E07Rik
chr1	16964560	17097889	-	ENSMUSG00000042686	protein_coding	Jph1
chr1	17124747	17128956	+	ENSMUSG00000100110	lincRNA	Gm28783
chr1	17145362	17164271	+	ENSMUSG00000025777	protein_coding	Gdap1
chr1	17168403	17173103	+	ENSMUSG00000099899	lincRNA	Gm28784
chr1	17250114	17250492	-	ENSMUSG00000100272	processed_pseudogene	Gm28785
chr1	17394958	17395429	+	ENSMUSG00000100398	processed_pseudogene	Gm5251
chr1	17397412	17400281	-	ENSMUSG00000101589	processed_pseudogene	Rbm6-ps1
chr1	17429043	17429528	-	ENSMUSG00000102048	processed_pseudogene	Gm6075
chr1	17520001	17520111	+	ENSMUSG00000089534	snoRNA	Gm25166
chr1	17601901	17630939	+	ENSMUSG00000067780	protein_coding	Pi15
chr1	17615084	17641081	-	ENSMUSG00000100053	antisense	Gm28154
chr1	17676027	17727646	-	ENSMUSG00000085125	antisense	Gm16070
chr1	17727045	17766344	+	ENSMUSG00000025776	protein_coding	Crispld1
chr1	17741915	17805417	-	ENSMUSG00000099895	antisense	Gm28153
chr1	17947041	17948439	+	ENSMUSG00000100554	processed_pseudogene	Gm7690
chr1	17993010	17999622	-	ENSMUSG00000099473	transcribed_unprocessed_pseudogene	Gm18775
chr1	17993813	17997483	+	ENSMUSG00000099591	processed_pseudogene	Gm17969
chr1	17994462	18059056	-	ENSMUSG00000109887	processed_transcript	RP24-571A14.6
chr1	18005961	18016186	-	ENSMUSG00000102001	unprocessed_pseudogene	Gm28755
chr1	18048100	18058269	-	ENSMUSG00000101717	transcribed_unprocessed_pseudogene	Gm28756
chr1	18115191	18145902	-	ENSMUSG00000025774	protein_coding	Crisp4
chr1	18210053	18223564	-	ENSMUSG00000070977	unprocessed_pseudogene	Defb44-ps
chr1	18236473	18237443	-	ENSMUSG00000073735	protein_coding	Defb18
chr1	18250980	18265138	-	ENSMUSG00000067773	protein_coding	Defb41
chr1	18262395	18263379	-	ENSMUSG00000101685	processed_pseudogene	Gm17837
chr1	18307984	18313686	+	ENSMUSG00000101738	unitary_pseudogene	Gm29006
chr1	18708428	18709336	+	ENSMUSG00000101306	processed_pseudogene	Gm5252
chr1	18969762	18969833	-	ENSMUSG00000088800	snoRNA	Gm24075
chr1	19037266	19037377	+	ENSMUSG00000101644	processed_pseudogene	Gm28343
chr1	19062857	19063135	+	ENSMUSG00000099433	processed_pseudogene	Gm28344
chr1	19063300	19104840	-	ENSMUSG00000089787	antisense	Gm15825
chr1	19103022	19166346	+	ENSMUSG00000042596	protein_coding	Tfap2d
chr1	19153422	19153966	-	ENSMUSG00000100720	processed_pseudogene	Gm10075
chr1	19208914	19238576	+	ENSMUSG00000025927	protein_coding	Tfap2b
chr1	19242725	19243769	+	ENSMUSG00000100538	lincRNA	Gm28340
chr1	19320226	19320697	-	ENSMUSG00000101117	processed_pseudogene	Gm28341
chr1	19330939	19333184	+	ENSMUSG00000100204	processed_pseudogene	Gm4849
chr1	19513855	19513919	-	ENSMUSG00000084668	snoRNA	Gm24633
chr1	19614269	19616767	+	ENSMUSG00000102597	TEC	Gm38382
chr1	20057779	20618064	-	ENSMUSG00000043760	protein_coding	Pkhd1
chr1	20062070	20065548	-	ENSMUSG00000104095	TEC	Gm37315
chr1	20356452	20392300	+	ENSMUSG00000089914	antisense	4930486I03Rik
chr1	20444258	20444810	-	ENSMUSG00000090142	processed_pseudogene	Gm15795
chr1	20444811	20444912	-	ENSMUSG00000070175	snRNA	Gm24162
chr1	20679010	20679082	+	ENSMUSG00000065559	miRNA	Mir206
chr1	20679023	20684298	+	ENSMUSG00000099906	lincRNA	Gm28653
chr1	20682769	20682887	+	ENSMUSG00000065480	miRNA	Mir133b
chr1	20730905	20734496	+	ENSMUSG00000025929	protein_coding	Il17a
chr1	20777146	20790617	-	ENSMUSG00000041872	protein_coding	Il17f
chr1	20802968	20820312	-	ENSMUSG00000041859	protein_coding	Mcm3
chr1	20821331	20822516	+	ENSMUSG00000099714	processed_pseudogene	Gm20587
chr1	20836661	20839689	+	ENSMUSG00000102121	lincRNA	Gm28065
chr1	20842535	20842666	-	ENSMUSG00000088858	snoRNA	Gm24723
chr1	20888650	20890473	-	ENSMUSG00000097934	lincRNA	6720483E21Rik
chr1	20890606	20939650	+	ENSMUSG00000025931	protein_coding	Paqr8
chr1	20915410	20915540	-	ENSMUSG00000077314	snoRNA	Gm24171
chr1	20945711	20946914	+	ENSMUSG00000100929	processed_pseudogene	Gm28064
chr1	20951626	20990841	+	ENSMUSG00000041809	protein_coding	Efhc1
chr1	20996299	21079229	-	ENSMUSG00000041779	protein_coding	Tram2
chr1	21080114	21081748	+	ENSMUSG00000099971	antisense	Gm28287
chr1	21178988	21187427	+	ENSMUSG00000100819	unprocessed_pseudogene	Gm2693
chr1	21218575	21230167	+	ENSMUSG00000025933	protein_coding	Tmem14a
chr1	21234722	21236821	+	ENSMUSG00000102633	TEC	Gm38224
chr1	21240589	21265661	+	ENSMUSG00000025934	protein_coding	Gsta3
chr1	21250359	21271593	-	ENSMUSG00000099343	antisense	Gm28836
chr1	21272403	21272906	+	ENSMUSG00000096375	unprocessed_pseudogene	Gm7094
chr1	21285246	21298312	-	ENSMUSG00000025936	transcribed_unprocessed_pseudogene	Gm4956
chr1	21312517	21316320	-	ENSMUSG00000093963	unprocessed_pseudogene	Gm21909
chr1	21349641	21352200	+	ENSMUSG00000067750	protein_coding	Khdc1a
chr1	21354005	21355116	+	ENSMUSG00000086194	unprocessed_pseudogene	Gm16329
chr1	21364803	21365030	+	ENSMUSG00000094436	processed_pseudogene	Gm16327
chr1	21368331	21370845	+	ENSMUSG00000041722	protein_coding	Khdc1c
chr1	21372670	21373764	+	ENSMUSG00000085507	unprocessed_pseudogene	Gm2709
chr1	21379555	21379782	+	ENSMUSG00000094926	processed_pseudogene	Gm16533
chr1	21383556	21386373	+	ENSMUSG00000085079	protein_coding	Khdc1b
chr1	21390906	21391101	+	ENSMUSG00000085679	processed_pseudogene	Gm16328
chr1	21398403	21961942	-	ENSMUSG00000028033	protein_coding	Kcnq5
chr1	21454691	21457017	-	ENSMUSG00000104138	TEC	Gm36949
chr1	21511933	21513056	-	ENSMUSG00000082935	processed_pseudogene	Gm7658
chr1	21838948	21840514	-	ENSMUSG00000103748	TEC	Gm38243
chr1	21959842	21962530	+	ENSMUSG00000097109	lincRNA	Gm26580
chr1	22030064	22030615	-	ENSMUSG00000099692	processed_pseudogene	Gm5696
chr1	22237849	22238295	+	ENSMUSG00000100418	processed_pseudogene	Gm28239
chr1	22286251	22805724	-	ENSMUSG00000041670	protein_coding	Rims1
chr1	22740764	22741565	+	ENSMUSG00000097642	processed_pseudogene	Gm26866
chr1	22984863	22987125	-	ENSMUSG00000101468	processed_pseudogene	Gm7761
chr1	23048295	23235673	-	ENSMUSG00000101227	sense_overlapping	Gm29506
chr1	23100473	23102253	-	ENSMUSG00000073730	protein_coding	4933415F23Rik
chr1	23245211	23245331	+	ENSMUSG00000089553	snoRNA	Gm24176
chr1	23255685	23256407	-	ENSMUSG00000102766	TEC	Gm6420
chr1	23272269	23272339	+	ENSMUSG00000065405	miRNA	Mir30a
chr1	23291537	23291935	+	ENSMUSG00000097970	lincRNA	Gm27028
chr1	23291701	23291784	+	ENSMUSG00000065567	miRNA	Mir30c-2
chr1	23293729	23294075	+	ENSMUSG00000100775	lincRNA	Gm29107
chr1	23345956	23346599	-	ENSMUSG00000101226	processed_pseudogene	Gm20954
chr1	23366424	23397772	-	ENSMUSG00000026158	protein_coding	Ogfrl1
chr1	23479539	23480527	+	ENSMUSG00000097920	processed_pseudogene	Gm7784
chr1	23574587	23596664	+	ENSMUSG00000099503	lincRNA	Gm28822
chr1	23761753	23849158	+	ENSMUSG00000026156	protein_coding	B3gat2
chr1	23844846	23922317	-	ENSMUSG00000026155	protein_coding	Smap1
chr1	23995939	24005656	-	ENSMUSG00000026154	protein_coding	Sdhaf4
chr1	24005505	24005894	+	ENSMUSG00000102495	TEC	Gm26524
chr1	24011093	24100341	-	ENSMUSG00000026153	protein_coding	Fam135a
chr1	24100625	24103424	+	ENSMUSG00000102398	TEC	Gm37580
chr1	24125275	24126141	+	ENSMUSG00000097670	processed_pseudogene	Gm26607
chr1	24177610	24252684	+	ENSMUSG00000026147	protein_coding	Col9a1
chr1	24261890	24587472	-	ENSMUSG00000026141	protein_coding	Col19a1
chr1	24548841	24548977	-	ENSMUSG00000077463	snoRNA	Gm26418
chr1	24594087	24595423	-	ENSMUSG00000099997	processed_pseudogene	Tubb4b-ps2
chr1	24611535	24612410	-	ENSMUSG00000100131	unprocessed_pseudogene	Gm28439
chr1	24612407	24612700	-	ENSMUSG00000067736	unprocessed_pseudogene	Gm10222
chr1	24612775	24613119	-	ENSMUSG00000101939	unprocessed_pseudogene	Gm28438
chr1	24613189	24613971	-	ENSMUSG00000101111	unprocessed_pseudogene	Gm28437
chr1	24613974	24614651	-	ENSMUSG00000100862	unprocessed_pseudogene	Gm10925
chr1	24614885	24615565	-	ENSMUSG00000102070	unprocessed_pseudogene	Gm28661
chr1	24615706	24616197	-	ENSMUSG00000101249	unprocessed_pseudogene	Gm29216
chr1	24678630	24766301	+	ENSMUSG00000073725	protein_coding	Lmbrd1
chr1	24910461	24911659	-	ENSMUSG00000100808	processed_pseudogene	Gm28594
chr1	24963209	24965158	-	ENSMUSG00000100483	lincRNA	Gm28237
chr1	25011941	25012756	+	ENSMUSG00000100450	processed_pseudogene	Gm9443
chr1	25026581	25027232	-	ENSMUSG00000099392	lincRNA	Gm29414
chr1	25067476	25829707	-	ENSMUSG00000033569	protein_coding	Adgrb3
chr1	25223730	25224173	+	ENSMUSG00000080849	processed_pseudogene	Gm15702
chr1	25276404	25277954	-	ENSMUSG00000104257	TEC	Gm20172
chr1	25279445	25279551	-	ENSMUSG00000096866	snRNA	Gm22260
chr1	25284218	25285248	-	ENSMUSG00000102296	TEC	Gm37543
chr1	25296512	25299886	-	ENSMUSG00000103209	TEC	Gm37331
chr1	25314276	25317708	-	ENSMUSG00000104027	TEC	Gm37211
chr1	25325866	25328398	-	ENSMUSG00000102407	TEC	Gm37862
chr1	25345978	25349082	-	ENSMUSG00000103214	TEC	Gm38286
chr1	25362564	25365820	-	ENSMUSG00000104100	TEC	Gm37880
chr1	25451071	25451174	+	ENSMUSG00000084740	snRNA	Gm25294
chr1	25608250	25611184	-	ENSMUSG00000103889	TEC	Gm37011
chr1	25614946	25615515	-	ENSMUSG00000101301	processed_pseudogene	Gm29214
chr1	25620238	25623180	-	ENSMUSG00000104221	TEC	Gm37051
chr1	25672245	25676239	-	ENSMUSG00000102250	TEC	Gm38260
chr1	25686062	25691501	-	ENSMUSG00000102317	TEC	Gm37628
chr1	25722038	25724778	-	ENSMUSG00000103563	TEC	8030445P17Rik
chr1	25735389	25738969	-	ENSMUSG00000102465	TEC	Gm38198
chr1	25755343	25759033	-	ENSMUSG00000102659	TEC	Gm37077
