mm_xp_gene	xp_gene	mm_gene
mm_xp_gene_73	LOC100485113	ENSMUSG00000006143
mm_xp_gene_74	LOC100485117	ENSMUSG00000049488
mm_xp_gene_75	LOC100485121	ENSMUSG00000001901
mm_xp_gene_76	LOC100485135	ENSMUSG00000027762
mm_xp_gene_77	LOC100485140	ENSMUSG00000022962
mm_xp_gene_78	LOC100485141	ENSMUSG00000030882
mm_xp_gene_79	LOC100485143-like.1	ENSMUSG00000047767
mm_xp_gene_80	LOC100485143-like.2	ENSMUSG00000047767
mm_xp_gene_81	LOC100485172	ENSMUSG00000054169
mm_xp_gene_82	LOC100485172	ENSMUSG00000054385
mm_xp_gene_83	LOC100485172	ENSMUSG00000074272
mm_xp_gene_84	LOC100485177	ENSMUSG00000033096
mm_xp_gene_85	LOC100485203	ENSMUSG00000078908
mm_xp_gene_86	LOC100485245	ENSMUSG00000027762
mm_xp_gene_87	LOC100485260-like	ENSMUSG00000021182
mm_xp_gene_88	LOC100485265	ENSMUSG00000006281
mm_xp_gene_89	LOC100485266	ENSMUSG00000006143
mm_xp_gene_90	LOC100485269	ENSMUSG00000000628
mm_xp_gene_91	LOC100485278	ENSMUSG00000049957
mm_xp_gene_92	LOC100485303	ENSMUSG00000069805
mm_xp_gene_93	LOC100485319	ENSMUSG00000079620
mm_xp_gene_94	LOC100485348	ENSMUSG00000017733
mm_xp_gene_95	LOC100485350	ENSMUSG00000068250
mm_xp_gene_96	LOC100485352	ENSMUSG00000075033
mm_xp_gene_97	LOC100485357	ENSMUSG00000043067
mm_xp_gene_98	LOC100485378	ENSMUSG00000068220
mm_xp_gene_99	LOC100485387-like.1	ENSMUSG00000001288
mm_xp_gene_100	LOC100485394	ENSMUSG00000022878
mm_xp_gene_101	LOC100485409	ENSMUSG00000027762
mm_xp_gene_102	LOC100485411	ENSMUSG00000028439
mm_xp_gene_103	LOC100485441	ENSMUSG00000090877
mm_xp_gene_104	LOC100485441	ENSMUSG00000091971
mm_xp_gene_105	LOC100485447	ENSMUSG00000084845
mm_xp_gene_106	LOC100485488	ENSMUSG00000021575
mm_xp_gene_107	LOC100485509	ENSMUSG00000075033
mm_xp_gene_108	LOC100485518	ENSMUSG00000022759
mm_xp_gene_109	LOC100485539-like	ENSMUSG00000021990
mm_xp_gene_110	LOC100485630	ENSMUSG00000061584
mm_xp_gene_111	LOC100485638	ENSMUSG00000028555
mm_xp_gene_112	LOC100485641	ENSMUSG00000044362
mm_xp_gene_113	LOC100485652	ENSMUSG00000033849
mm_xp_gene_114	LOC100485662	ENSMUSG00000025738
mm_xp_gene_115	LOC100485666	ENSMUSG00000012017
mm_xp_gene_116	LOC100485686	ENSMUSG00000031450
mm_xp_gene_117	LOC100485688	ENSMUSG00000067942
mm_xp_gene_118	LOC100485693	ENSMUSG00000042116
mm_xp_gene_119	LOC100485697	ENSMUSG00000001496
mm_xp_gene_120	LOC100485698	ENSMUSG00000042678
mm_xp_gene_121	LOC100485703	ENSMUSG00000049038
mm_xp_gene_122	LOC100485719-like	ENSMUSG00000034157
mm_xp_gene_123	LOC100485722	ENSMUSG00000040441
mm_xp_gene_124	LOC100485723	ENSMUSG00000050783
mm_xp_gene_125	LOC100485734	ENSMUSG00000041797
mm_xp_gene_126	LOC100485736	ENSMUSG00000068037
mm_xp_gene_127	LOC100485766-like	ENSMUSG00000024118
mm_xp_gene_128	LOC100485767-like	ENSMUSG00000034848
mm_xp_gene_129	LOC100485774	ENSMUSG00000033156
mm_xp_gene_130	LOC100485774	ENSMUSG00000027447
mm_xp_gene_131	LOC100485775	ENSMUSG00000046782
mm_xp_gene_132	LOC100485776	ENSMUSG00000074665
mm_xp_gene_133	LOC100485780	ENSMUSG00000037762
mm_xp_gene_134	LOC100485784-like	ENSMUSG00000040563
mm_xp_gene_135	LOC100485787	ENSMUSG00000029314
mm_xp_gene_136	LOC100485792	ENSMUSG00000042064
mm_xp_gene_137	LOC100485797-like	ENSMUSG00000027204
mm_xp_gene_138	LOC100485829	ENSMUSG00000037523
mm_xp_gene_139	LOC100485830-like	ENSMUSG00000045917
mm_xp_gene_140	LOC100485833	ENSMUSG00000025507
mm_xp_gene_141	LOC100485853	ENSMUSG00000007038
mm_xp_gene_142	LOC100485859	ENSMUSG00000001576
mm_xp_gene_143	LOC100485866	ENSMUSG00000040154
mm_xp_gene_144	LOC100485898-like	ENSMUSG00000021556
mm_xp_gene_145	LOC100485908	ENSMUSG00000048794
mm_xp_gene_146	LOC100485932	ENSMUSG00000040520
mm_xp_gene_147	LOC100485939	ENSMUSG00000027900
mm_xp_gene_148	LOC100485959-like.1	ENSMUSG00000030265
mm_xp_gene_149	LOC100485964-like	ENSMUSG00000070732
mm_xp_gene_150	LOC100485966	ENSMUSG00000043811
mm_xp_gene_151	LOC100485974-like	ENSMUSG00000033697
mm_xp_gene_152	LOC100485992	ENSMUSG00000042298
mm_xp_gene_153	LOC100485993	ENSMUSG00000034744
mm_xp_gene_154	LOC100485996	ENSMUSG00000034109
mm_xp_gene_155	LOC100486003-like	ENSMUSG00000061815
mm_xp_gene_156	LOC100486057	ENSMUSG00000022900
mm_xp_gene_157	LOC100486063	ENSMUSG00000043719
mm_xp_gene_158	LOC100486072	ENSMUSG00000033222
mm_xp_gene_159	LOC100486078	ENSMUSG00000020520
mm_xp_gene_160	LOC100486088	ENSMUSG00000053675
mm_xp_gene_161	LOC100486090	ENSMUSG00000021396
mm_xp_gene_162	LOC100486092	ENSMUSG00000027171
mm_xp_gene_163	LOC100486093-like	ENSMUSG00000056749
mm_xp_gene_164	LOC100486103	ENSMUSG00000033849
mm_xp_gene_165	LOC100486112-like	ENSMUSG00000044364
mm_xp_gene_166	LOC100486119	ENSMUSG00000011263
mm_xp_gene_167	LOC100486146	ENSMUSG00000020057
mm_xp_gene_168	LOC100486154	ENSMUSG00000030281
mm_xp_gene_169	LOC100486160-like	ENSMUSG00000033124
mm_xp_gene_170	LOC100486181	ENSMUSG00000009585
mm_xp_gene_171	LOC100486199-like	ENSMUSG00000067889
mm_xp_gene_172	LOC100486200	ENSMUSG00000032495
mm_xp_gene_173	LOC100486204-like	ENSMUSG00000059810
mm_xp_gene_174	LOC100486206-like	ENSMUSG00000021707
mm_xp_gene_175	LOC100486229	ENSMUSG00000027296
mm_xp_gene_176	LOC100486238	ENSMUSG00000019945
mm_xp_gene_177	LOC100486246	ENSMUSG00000033849
mm_xp_gene_178	LOC100486247	ENSMUSG00000071477
mm_xp_gene_179	LOC100486258	ENSMUSG00000075033
mm_xp_gene_180	LOC100486261-like	ENSMUSG00000074358
mm_xp_gene_181	LOC100486294	ENSMUSG00000031981
mm_xp_gene_182	LOC100486295	ENSMUSG00000030793
mm_xp_gene_183	LOC100486306	ENSMUSG00000040901
mm_xp_gene_184	LOC100486331	ENSMUSG00000042357
mm_xp_gene_185	LOC100486342	ENSMUSG00000032226
mm_xp_gene_186	LOC100486343	ENSMUSG00000039956
mm_xp_gene_187	LOC100486344	ENSMUSG00000027878
mm_xp_gene_188	LOC100486348	ENSMUSG00000024070
mm_xp_gene_189	LOC100486350	ENSMUSG00000022901
mm_xp_gene_190	LOC100486355-like	ENSMUSG00000045348
mm_xp_gene_191	LOC100486360	ENSMUSG00000028057
mm_xp_gene_192	LOC100486378	ENSMUSG00000047161
mm_xp_gene_193	LOC100486380	ENSMUSG00000028553
mm_xp_gene_194	LOC100486394-like	ENSMUSG00000006641
mm_xp_gene_195	LOC100486416	ENSMUSG00000091204
mm_xp_gene_196	LOC100486436-like	ENSMUSG00000074736
mm_xp_gene_197	LOC100486454	ENSMUSG00000058441
mm_xp_gene_198	LOC100486469	ENSMUSG00000026074
mm_xp_gene_199	LOC100486483	ENSMUSG00000044052
mm_xp_gene_200	LOC100486488	ENSMUSG00000051314
mm_xp_gene_201	LOC100486512	ENSMUSG00000016757
mm_xp_gene_202	LOC100486522	ENSMUSG00000021969
mm_xp_gene_203	LOC100486532	ENSMUSG00000035606
mm_xp_gene_204	LOC100486534	ENSMUSG00000025794
mm_xp_gene_205	LOC100486545	ENSMUSG00000039958
mm_xp_gene_206	LOC100486554	ENSMUSG00000020723
mm_xp_gene_207	LOC100486569-like	ENSMUSG00000036707
mm_xp_gene_208	LOC100486578	ENSMUSG00000078817
mm_xp_gene_209	LOC100486585	ENSMUSG00000041362
mm_xp_gene_210	LOC100486587-like	ENSMUSG00000089832
mm_xp_gene_211	LOC100486588	ENSMUSG00000034949
mm_xp_gene_212	LOC100486592	ENSMUSG00000051650
mm_xp_gene_213	LOC100486595-like	ENSMUSG00000047586
mm_xp_gene_214	LOC100486596-like.2	ENSMUSG00000030793
mm_xp_gene_215	LOC100486614	ENSMUSG00000049741
mm_xp_gene_216	LOC100486615	ENSMUSG00000037098
mm_xp_gene_217	LOC100486629	ENSMUSG00000053199
mm_xp_gene_218	LOC100486632-like	ENSMUSG00000027340
mm_xp_gene_219	LOC100486637	ENSMUSG00000039691
mm_xp_gene_220	LOC100486640-like	ENSMUSG00000031555
mm_xp_gene_221	LOC100486641	ENSMUSG00000024713
mm_xp_gene_222	LOC100486659	ENSMUSG00000079555
mm_xp_gene_223	LOC100486686	ENSMUSG00000050271
mm_xp_gene_224	LOC100486705	ENSMUSG00000038085
mm_xp_gene_225	LOC100486709	ENSMUSG00000045519
mm_xp_gene_226	LOC100486730	ENSMUSG00000030049
mm_xp_gene_227	LOC100486737	ENSMUSG00000078817
mm_xp_gene_228	LOC100486751	ENSMUSG00000064158
mm_xp_gene_229	LOC100486753	ENSMUSG00000084174
mm_xp_gene_230	LOC100486763	ENSMUSG00000020455
mm_xp_gene_231	LOC100486779	ENSMUSG00000026271
mm_xp_gene_232	LOC100486794	ENSMUSG00000067872
mm_xp_gene_233	LOC100486803	ENSMUSG00000051314
mm_xp_gene_234	LOC100486811-like	ENSMUSG00000030811
mm_xp_gene_235	LOC100486825	ENSMUSG00000027463
mm_xp_gene_236	LOC100486844	ENSMUSG00000029319
mm_xp_gene_237	LOC100486858	ENSMUSG00000033411
mm_xp_gene_238	LOC100486877	ENSMUSG00000030249
mm_xp_gene_239	LOC100486889	ENSMUSG00000030050
mm_xp_gene_240	LOC100486893	ENSMUSG00000028312
mm_xp_gene_241	LOC100486898-like	ENSMUSG00000079259
mm_xp_gene_242	LOC100486900	ENSMUSG00000049999
mm_xp_gene_243	LOC100486901	ENSMUSG00000066964
mm_xp_gene_244	LOC100486904	ENSMUSG00000050520
mm_xp_gene_245	LOC100486909	ENSMUSG00000028098
mm_xp_gene_246	LOC100486929	ENSMUSG00000073494
mm_xp_gene_247	LOC100486929	ENSMUSG00000102418
mm_xp_gene_248	LOC100486931	ENSMUSG00000048175
mm_xp_gene_249	LOC100486951	ENSMUSG00000036721
mm_xp_gene_250	LOC100486956-like.1	ENSMUSG00000035735
mm_xp_gene_251	LOC100486956-like.2	ENSMUSG00000035735
mm_xp_gene_252	LOC100486956-like.3	ENSMUSG00000035735
mm_xp_gene_253	LOC100486956-like.4	ENSMUSG00000035735
mm_xp_gene_254	LOC100486973-like	ENSMUSG00000024952
mm_xp_gene_255	LOC100486976	ENSMUSG00000034000
mm_xp_gene_256	LOC100486993	ENSMUSG00000052981
mm_xp_gene_257	LOC100487003	ENSMUSG00000063576
mm_xp_gene_258	LOC100487006	ENSMUSG00000022342
mm_xp_gene_259	LOC100487011	ENSMUSG00000032028
mm_xp_gene_260	LOC100487019	ENSMUSG00000045176
mm_xp_gene_261	LOC100487049	ENSMUSG00000053024
mm_xp_gene_262	LOC100487058	ENSMUSG00000050520
mm_xp_gene_263	LOC100487082	ENSMUSG00000040752
mm_xp_gene_264	LOC100487086	ENSMUSG00000035283
mm_xp_gene_265	LOC100487089-like	ENSMUSG00000037509
mm_xp_gene_266	LOC100487119	ENSMUSG00000049739
mm_xp_gene_267	LOC100487128	ENSMUSG00000094651
mm_xp_gene_268	LOC100487128	ENSMUSG00000093805
mm_xp_gene_269	LOC100487128	ENSMUSG00000073608
mm_xp_gene_270	LOC100487141	ENSMUSG00000023073
mm_xp_gene_271	LOC100487156	ENSMUSG00000078442
mm_xp_gene_272	LOC100487159-like	ENSMUSG00000051076
mm_xp_gene_273	LOC100487173	ENSMUSG00000040860
mm_xp_gene_274	LOC100487185-like	ENSMUSG00000069835
mm_xp_gene_275	LOC100487198	ENSMUSG00000030741
mm_xp_gene_276	LOC100487203	ENSMUSG00000028386
mm_xp_gene_277	LOC100487218	ENSMUSG00000069830
mm_xp_gene_278	LOC100487218	ENSMUSG00000070390
mm_xp_gene_279	LOC100487225	ENSMUSG00000029862
mm_xp_gene_280	LOC100487248-like	ENSMUSG00000024197
mm_xp_gene_281	LOC100487261	ENSMUSG00000058239
mm_xp_gene_282	LOC100487263	ENSMUSG00000000976
mm_xp_gene_283	LOC100487280	ENSMUSG00000027176
mm_xp_gene_284	LOC100487287-like	ENSMUSG00000074766
mm_xp_gene_285	LOC100487296	ENSMUSG00000028078
mm_xp_gene_286	LOC100487311-like	ENSMUSG00000033967
mm_xp_gene_287	LOC100487316-like	ENSMUSG00000041278
mm_xp_gene_288	LOC100487324	ENSMUSG00000064080
mm_xp_gene_289	LOC100487326	ENSMUSG00000019889
mm_xp_gene_290	LOC100487349	ENSMUSG00000024270
mm_xp_gene_291	LOC100487354	ENSMUSG00000028386
mm_xp_gene_292	LOC100487355-like	ENSMUSG00000035403
mm_xp_gene_293	LOC100487370	ENSMUSG00000069830
mm_xp_gene_294	LOC100487370	ENSMUSG00000070390
mm_xp_gene_295	LOC100487379	ENSMUSG00000027863
mm_xp_gene_296	LOC100487393	ENSMUSG00000036330
mm_xp_gene_297	LOC100487397	ENSMUSG00000087247
mm_xp_gene_298	LOC100487399	ENSMUSG00000024194
mm_xp_gene_299	LOC100487401	ENSMUSG00000051212
mm_xp_gene_300	LOC100487412	ENSMUSG00000049871
mm_xp_gene_301	LOC100487418	ENSMUSG00000024959
mm_xp_gene_302	LOC100487427	ENSMUSG00000025366
mm_xp_gene_303	LOC100487431	ENSMUSG00000027176
mm_xp_gene_304	LOC100487433-like	ENSMUSG00000037049
mm_xp_gene_305	LOC100487438	ENSMUSG00000050777
mm_xp_gene_306	LOC100487469	ENSMUSG00000058589
mm_xp_gene_307	LOC100487490	ENSMUSG00000030963
mm_xp_gene_308	LOC100487499	ENSMUSG00000047025
mm_xp_gene_309	LOC100487502	ENSMUSG00000030431
mm_xp_gene_310	LOC100487507-like	ENSMUSG00000028386
mm_xp_gene_311	LOC100487527	ENSMUSG00000030666
mm_xp_gene_312	LOC100487567-like	ENSMUSG00000037826
mm_xp_gene_313	LOC100487583	ENSMUSG00000022802
mm_xp_gene_314	LOC100487642	ENSMUSG00000064158
mm_xp_gene_315	LOC100487666	ENSMUSG00000020332
mm_xp_gene_316	LOC100487668	ENSMUSG00000038037
mm_xp_gene_317	LOC100487727	ENSMUSG00000019907
mm_xp_gene_318	LOC100487728	ENSMUSG00000070366
mm_xp_gene_319	LOC100487740	ENSMUSG00000020310
mm_xp_gene_320	LOC100487774	ENSMUSG00000040966
mm_xp_gene_321	LOC100487779	ENSMUSG00000032123
mm_xp_gene_322	LOC100487782	ENSMUSG00000030525
mm_xp_gene_323	LOC100487792	ENSMUSG00000030741
mm_xp_gene_324	LOC100487796-like	ENSMUSG00000026955
mm_xp_gene_325	LOC100487804	ENSMUSG00000021701
mm_xp_gene_326	LOC100487834	ENSMUSG00000024411
mm_xp_gene_327	LOC100487878-like	ENSMUSG00000011254
mm_xp_gene_328	LOC100487884-like	ENSMUSG00000035873
mm_xp_gene_329	LOC100487885	ENSMUSG00000004591
mm_xp_gene_330	LOC100487886	ENSMUSG00000039470
mm_xp_gene_331	LOC100487889	ENSMUSG00000070604
mm_xp_gene_332	LOC100487893	ENSMUSG00000052974
mm_xp_gene_333	LOC100487899-like	ENSMUSG00000054640
mm_xp_gene_334	LOC100487901-like	ENSMUSG00000027635
mm_xp_gene_335	LOC100487930	ENSMUSG00000039748
mm_xp_gene_336	LOC100487945	ENSMUSG00000029491
mm_xp_gene_337	LOC100487948	ENSMUSG00000044456
mm_xp_gene_338	LOC100487949	ENSMUSG00000059763
mm_xp_gene_339	LOC100487957	ENSMUSG00000021375
mm_xp_gene_340	LOC100487964	ENSMUSG00000025200
mm_xp_gene_341	LOC100487967-like	ENSMUSG00000075289
mm_xp_gene_342	LOC100487981	ENSMUSG00000056133
mm_xp_gene_343	LOC100487981	ENSMUSG00000067049
mm_xp_gene_344	LOC100488015	ENSMUSG00000050445
mm_xp_gene_345	LOC100488016	ENSMUSG00000026456
mm_xp_gene_346	LOC100488020	ENSMUSG00000038473
mm_xp_gene_347	LOC100488028-like	ENSMUSG00000039787
mm_xp_gene_348	LOC100488044	ENSMUSG00000060807
mm_xp_gene_349	LOC100488052	ENSMUSG00000015656
mm_xp_gene_350	LOC100488053	ENSMUSG00000056492
mm_xp_gene_351	LOC100488056	ENSMUSG00000027322
mm_xp_gene_352	LOC100488066	ENSMUSG00000021260
mm_xp_gene_353	LOC100488071	ENSMUSG00000040697
mm_xp_gene_354	LOC100488079-like	ENSMUSG00000109350
mm_xp_gene_355	LOC100488079-like	ENSMUSG00000002992
mm_xp_gene_356	LOC100488102	ENSMUSG00000022262
mm_xp_gene_357	LOC100488112	ENSMUSG00000024786
mm_xp_gene_358	LOC100488113-like	ENSMUSG00000040669
mm_xp_gene_359	LOC100488131	ENSMUSG00000035545
mm_xp_gene_360	LOC100488143	ENSMUSG00000033966
mm_xp_gene_361	LOC100488168	ENSMUSG00000050445
mm_xp_gene_362	LOC100488173	ENSMUSG00000015882
mm_xp_gene_363	LOC100488200-like	ENSMUSG00000015787
mm_xp_gene_364	LOC100488209	ENSMUSG00000066108
mm_xp_gene_365	LOC100488229	ENSMUSG00000006369
mm_xp_gene_366	LOC100488238-like	ENSMUSG00000030111
mm_xp_gene_367	LOC100488276	ENSMUSG00000038910
mm_xp_gene_368	LOC100488277	ENSMUSG00000026179
mm_xp_gene_369	LOC100488314	ENSMUSG00000013367
mm_xp_gene_370	LOC100488329	ENSMUSG00000042436
mm_xp_gene_371	LOC100488336	ENSMUSG00000044988
mm_xp_gene_372	LOC100488348	ENSMUSG00000038005
mm_xp_gene_373	LOC100488360-like	ENSMUSG00000020700
mm_xp_gene_374	LOC100488374-like	ENSMUSG00000038170
mm_xp_gene_375	LOC100488420	ENSMUSG00000054793
mm_xp_gene_376	LOC100488434	ENSMUSG00000074139
mm_xp_gene_377	LOC100488434	ENSMUSG00000032369
mm_xp_gene_378	LOC100488434	ENSMUSG00000032372
mm_xp_gene_379	LOC100488442	ENSMUSG00000078137
mm_xp_gene_380	LOC100488444	ENSMUSG00000041468
mm_xp_gene_381	LOC100488464	ENSMUSG00000022793
mm_xp_gene_382	LOC100488471	ENSMUSG00000025787
mm_xp_gene_383	LOC100488472	ENSMUSG00000027322
mm_xp_gene_384	LOC100488523	ENSMUSG00000059049
mm_xp_gene_385	LOC100488527	ENSMUSG00000046994
mm_xp_gene_386	LOC100488540	ENSMUSG00000029621
mm_xp_gene_387	LOC100488546	ENSMUSG00000067081
mm_xp_gene_388	LOC100488558-like	ENSMUSG00000002017
mm_xp_gene_389	LOC100488561	ENSMUSG00000028434
mm_xp_gene_390	LOC100488577	ENSMUSG00000026017
mm_xp_gene_391	LOC100488589	ENSMUSG00000039059
mm_xp_gene_392	LOC100488607	ENSMUSG00000006205
mm_xp_gene_393	LOC100488610	ENSMUSG00000062077
mm_xp_gene_394	LOC100488626	ENSMUSG00000091636
mm_xp_gene_395	LOC100488643-like	ENSMUSG00000078817
mm_xp_gene_396	LOC100488644	ENSMUSG00000042436
mm_xp_gene_397	LOC100488646	ENSMUSG00000035506
mm_xp_gene_398	LOC100488683	ENSMUSG00000079681
mm_xp_gene_399	LOC100488695	ENSMUSG00000026923
mm_xp_gene_400	LOC100488729	ENSMUSG00000038147
mm_xp_gene_401	LOC100488747-like.1	ENSMUSG00000040963
mm_xp_gene_402	LOC100488747-like.2	ENSMUSG00000040963
mm_xp_gene_403	LOC100488775-like	ENSMUSG00000059114
mm_xp_gene_404	LOC100488804	ENSMUSG00000038296
mm_xp_gene_405	LOC100488806	ENSMUSG00000050541
mm_xp_gene_406	LOC100488825	ENSMUSG00000019767
mm_xp_gene_407	LOC100488827	ENSMUSG00000021311
mm_xp_gene_408	LOC100488846-like	ENSMUSG00000028525
mm_xp_gene_409	LOC100488859	ENSMUSG00000079555
mm_xp_gene_410	LOC100488866-like	ENSMUSG00000038147
mm_xp_gene_411	LOC100488872	ENSMUSG00000033222
mm_xp_gene_412	LOC100488881	ENSMUSG00000045394
mm_xp_gene_413	LOC100488895	ENSMUSG00000024074
mm_xp_gene_414	LOC100488900	ENSMUSG00000000214
mm_xp_gene_415	LOC100488920-like	ENSMUSG00000030647
mm_xp_gene_416	LOC100488928	ENSMUSG00000041429
mm_xp_gene_417	LOC100488941	ENSMUSG00000033386
mm_xp_gene_418	LOC100488948	ENSMUSG00000027030
mm_xp_gene_419	LOC100488953	ENSMUSG00000019082
mm_xp_gene_420	LOC100488959-like	ENSMUSG00000051455
mm_xp_gene_421	LOC100488961	ENSMUSG00000061887
mm_xp_gene_422	LOC100489027	ENSMUSG00000003814
mm_xp_gene_423	LOC100489034-like	ENSMUSG00000013076
mm_xp_gene_424	LOC100489046	ENSMUSG00000022494
mm_xp_gene_425	LOC100489073	ENSMUSG00000063200
mm_xp_gene_426	LOC100489081	ENSMUSG00000074139
mm_xp_gene_427	LOC100489081	ENSMUSG00000032369
mm_xp_gene_428	LOC100489081	ENSMUSG00000032372
mm_xp_gene_429	LOC100489083-like.1	ENSMUSG00000024663
mm_xp_gene_430	LOC100489083-like.2	ENSMUSG00000024663
mm_xp_gene_431	LOC100489101	ENSMUSG00000010136
mm_xp_gene_432	LOC100489103	ENSMUSG00000025921
mm_xp_gene_433	LOC100489110	ENSMUSG00000004565
mm_xp_gene_434	LOC100489124	ENSMUSG00000057454
mm_xp_gene_435	LOC100489128	ENSMUSG00000003308
mm_xp_gene_436	LOC100489137	ENSMUSG00000078817
mm_xp_gene_437	LOC100489151	ENSMUSG00000046793
mm_xp_gene_438	LOC100489188	ENSMUSG00000026735
mm_xp_gene_439	LOC100489191	ENSMUSG00000053158
mm_xp_gene_440	LOC100489196	ENSMUSG00000053414
mm_xp_gene_441	LOC100489217-like	ENSMUSG00000057286
mm_xp_gene_442	LOC100489230	ENSMUSG00000020019
mm_xp_gene_443	LOC100489248	ENSMUSG00000030276
mm_xp_gene_444	LOC100489250	ENSMUSG00000060703
mm_xp_gene_445	LOC100489257	ENSMUSG00000005540
mm_xp_gene_446	LOC100489262	ENSMUSG00000044813
mm_xp_gene_447	LOC100489268-like	ENSMUSG00000024790
mm_xp_gene_448	LOC100489273	ENSMUSG00000074139
mm_xp_gene_449	LOC100489273	ENSMUSG00000032369
mm_xp_gene_450	LOC100489273	ENSMUSG00000032372
mm_xp_gene_451	LOC100489278-like	ENSMUSG00000033849
mm_xp_gene_452	LOC100489281	ENSMUSG00000029530
mm_xp_gene_453	LOC100489291	ENSMUSG00000024855
mm_xp_gene_454	LOC100489293	ENSMUSG00000049288
mm_xp_gene_455	LOC100489305	ENSMUSG00000010122
mm_xp_gene_456	LOC100489307	ENSMUSG00000036712
mm_xp_gene_457	LOC100489312	ENSMUSG00000060701
mm_xp_gene_458	LOC100489312	ENSMUSG00000071276
