Species	Symbol	Ensembl	Family	Protein	Entrez ID
Danio_rerio	tp73	ENSDARG00000017953	P53	ENSDARP00000109684;ENSDARP00000074096;ENSDARP00000109674;	368221
Danio_rerio	erfl1	ENSDARG00000086892	ETS	ENSDARP00000122126;ENSDARP00000140382;	558126
Danio_rerio	tead1a	ENSDARG00000028159	TEA	ENSDARP00000110978;ENSDARP00000106569;	405773
Danio_rerio	si:dkey-20i20	ENSDARG00000114349	zf-C2H2	ENSDARP00000136835;ENSDARP00000122787;	-
Danio_rerio	rx3	ENSDARG00000052893	Homeobox	ENSDARP00000069319;	30474
Danio_rerio	sall3a	ENSDARG00000079613	zf-C2H2	ENSDARP00000104082;	560775
Danio_rerio	nanog	ENSDARG00000075113	Homeobox	ENSDARP00000102376;	792333
Danio_rerio	si:dkey-18a10	ENSDARG00000090814	HSF	ENSDARP00000115279;	792628
Danio_rerio	mier2	ENSDARG00000071413	MYB	ENSDARP00000122799;ENSDARP00000096327;	564723
Danio_rerio	znf384l	ENSDARG00000001015	zf-C2H2	ENSDARP00000138912;ENSDARP00000126221;ENSDARP00000123598;ENSDARP00000095661;	368610
Danio_rerio	ppardb	ENSDARG00000009473	THR-like	ENSDARP00000120571;ENSDARP00000115428;ENSDARP00000110137;ENSDARP00000145280;	30754
Danio_rerio	msc	ENSDARG00000110016	bHLH	ENSDARP00000150948;	556396
Danio_rerio	her13	ENSDARG00000007097	bHLH	ENSDARP00000101873;	550600
Danio_rerio	BX255931.1	ENSDARG00000115318	TF_bZIP	ENSDARP00000153371;	-
Danio_rerio	CR846087.3	ENSDARG00000095605	zf-C2H2	ENSDARP00000120791;	100535113
Danio_rerio	znf1073	ENSDARG00000095993	zf-C2H2	ENSDARP00000125295;	-
Danio_rerio	nfil3	ENSDARG00000110085	TF_bZIP	ENSDARP00000153020;	-
Danio_rerio	BX248097.4	ENSDARG00000112303	Fork_head	ENSDARP00000149551;	-
Danio_rerio	si:dkeyp-117b8	ENSDARG00000094214	zf-BED	ENSDARP00000141151;ENSDARP00000139267;	101884515
Danio_rerio	zfpm2b	ENSDARG00000100560	zf-C2H2	ENSDARP00000138575;ENSDARP00000138560;	568464
Danio_rerio	mafgb	ENSDARG00000100097	TF_bZIP	ENSDARP00000151961;ENSDARP00000138294;ENSDARP00000142222;	405877
Danio_rerio	adnpb	ENSDARG00000074293	Homeobox	ENSDARP00000143280;ENSDARP00000103488;	100330315
Danio_rerio	arid3b	ENSDARG00000104034	ARID	ENSDARP00000141926;	571249
Danio_rerio	si:ch73-138e16	ENSDARG00000104894	zf-C2H2	ENSDARP00000135638;	100005958
Danio_rerio	hoxc6a	ENSDARG00000070343	Homeobox	ENSDARP00000107797;	30346
Danio_rerio	AL845168.1	ENSDARG00000109712	Fork_head	ENSDARP00000157327;	-
Danio_rerio	CU896567.1	ENSDARG00000115572	bHLH	ENSDARP00000150960;	-
Danio_rerio	hoxa2b	ENSDARG00000023031	Homeobox	ENSDARP00000023072;	30325
Danio_rerio	hoxa9a	ENSDARG00000105013	Homeobox	ENSDARP00000140324;ENSDARP00000139889;	58047
Danio_rerio	si:dkey-82i20	ENSDARG00000095126	zf-C2H2	ENSDARP00000125206;	-
Danio_rerio	uncx	ENSDARG00000102976	Homeobox	ENSDARP00000139512;	798510
Danio_rerio	zbtb39	ENSDARG00000019265	ZBTB	ENSDARP00000009683;ENSDARP00000009683;	565015
Danio_rerio	znf1161	ENSDARG00000074125	zf-C2H2	ENSDARP00000119423;ENSDARP00000101369;	559851
Danio_rerio	sall1b	ENSDARG00000075891	zf-C2H2	ENSDARP00000124330;	100149526
Danio_rerio	CU570894.2	ENSDARG00000116814	zf-C2H2	ENSDARP00000154422;ENSDARP00000151753;	-
Danio_rerio	si:cabz01071911	ENSDARG00000090998	zf-C2H2	ENSDARP00000155738;ENSDARP00000105120;ENSDARP00000156377;ENSDARP00000149618;	103908660
Danio_rerio	irf6	ENSDARG00000101986	IRF	ENSDARP00000139404;	393570
Danio_rerio	znf1108	ENSDARG00000104892	zf-C2H2	ENSDARP00000140891;	-
Danio_rerio	sox19a	ENSDARG00000010770	HMG	ENSDARP00000100683;	30038
Danio_rerio	hmgb1a	ENSDARG00000114353	HMG	ENSDARP00000149008;	-
Danio_rerio	stat5a	ENSDARG00000019392	STAT	ENSDARP00000120022;ENSDARP00000022542;	369197
Danio_rerio	foxi3a	ENSDARG00000055926	Fork_head	ENSDARP00000072803;	387257
Danio_rerio	pknox1	ENSDARG00000018765	Homeobox	ENSDARP00000111569;	798151
Danio_rerio	gata2b	ENSDARG00000009094	zf-GATA	ENSDARP00000120165;	436962
Danio_rerio	ahr1b	ENSDARG00000023537	bHLH	ENSDARP00000035291;	554265
Danio_rerio	hmg20a	ENSDARG00000031198	HMG	ENSDARP00000148449;ENSDARP00000095483;ENSDARP00000119454;ENSDARP00000147000;ENSDARP00000157579;	326908
Danio_rerio	si:dkey-77f5	ENSDARG00000097394	zf-C2H2	ENSDARP00000128414;	-
Danio_rerio	si:ch211-153j24	ENSDARG00000068428	TF_bZIP	ENSDARP00000089739;ENSDARP00000105362;	564403
Danio_rerio	prox1b	ENSDARG00000113014	HPD	ENSDARP00000137116;	-
Danio_rerio	znf646	ENSDARG00000061424	zf-C2H2	ENSDARP00000127100;ENSDARP00000127466;	561201
Danio_rerio	znf800b	ENSDARG00000039843	zf-C2H2	ENSDARP00000144695;ENSDARP00000058276;	393408
Danio_rerio	si:dkey-285e18	ENSDARG00000093665	zf-C2H2	ENSDARP00000126380;	-
Danio_rerio	sp100	ENSDARG00000090449	SAND	ENSDARP00000137561;ENSDARP00000108373;	555649
Danio_rerio	si:dkey-226l10	ENSDARG00000087483	zf-C2H2	ENSDARP00000109040;	558387
Danio_rerio	sox14	ENSDARG00000070929	HMG	ENSDARP00000095305;	557661
Danio_rerio	CU929391.2	ENSDARG00000090304	zf-C2H2	ENSDARP00000105349;	-
Danio_rerio	vox	ENSDARG00000099761	Homeobox	ENSDARP00000131684;	64807
Danio_rerio	BX005085.3	ENSDARG00000103450	zf-C2H2	ENSDARP00000110893;	-
Danio_rerio	si:dkey-261j4	ENSDARG00000095635	zf-C2H2	ENSDARP00000119486;	555591
Danio_rerio	tshz2	ENSDARG00000079201	zf-C2H2	ENSDARP00000097577;	100332862
Danio_rerio	dmrt2a	ENSDARG00000015072	DM	ENSDARP00000155386;ENSDARP00000002460;	30129
Danio_rerio	grhl1	ENSDARG00000061391	CP2	ENSDARP00000124914;ENSDARP00000124180;ENSDARP00000144151;ENSDARP00000123737;	324942
Danio_rerio	pou1f1	ENSDARG00000058924	Pou	ENSDARP00000076317;	405777
Danio_rerio	nfe2l2a	ENSDARG00000042824	TF_bZIP	ENSDARP00000062853;	360149
Danio_rerio	znf1033	ENSDARG00000115017	zf-C2H2	ENSDARP00000135743;ENSDARP00000125423;	-
Danio_rerio	meis1b	ENSDARG00000012078	Homeobox	ENSDARP00000093352;ENSDARP00000152955;	170446
Danio_rerio	znf974	ENSDARG00000100673	zf-C2H2	ENSDARP00000138259;	-
Danio_rerio	tulp4a	ENSDARG00000045911	Tub	ENSDARP00000118167;ENSDARP00000067485;	557730
Danio_rerio	si:dkey-15h8	ENSDARG00000098613	zf-C2H2	ENSDARP00000139611;	-
Danio_rerio	znf1180	ENSDARG00000071819	zf-C2H2	ENSDARP00000097281;ENSDARP00000119129;	-
Danio_rerio	myt1la	ENSDARG00000008209	zf-C2HC	ENSDARP00000127218;ENSDARP00000154337;	559505
Danio_rerio	si:dkey-7j22	ENSDARG00000097091	zf-C2H2	ENSDARP00000128664;	-
Danio_rerio	lhx4	ENSDARG00000039458	Homeobox	ENSDARP00000057643;	571943
Danio_rerio	znf1001	ENSDARG00000102401	zf-C2H2	ENSDARP00000130546;	798270
Danio_rerio	CABZ01112050.1	ENSDARG00000113012	COE	ENSDARP00000149339;	-
Danio_rerio	otx1	ENSDARG00000094992	TF_Otx	ENSDARP00000157164;ENSDARP00000064082;	30500
Danio_rerio	klf2a	ENSDARG00000042667	zf-C2H2	ENSDARP00000062586;	117508
Danio_rerio	tfap4	ENSDARG00000103923	bHLH	ENSDARP00000139230;	100318080
Danio_rerio	BX323465.2	ENSDARG00000116957	ESR-like	ENSDARP00000154482;	-
Danio_rerio	pbx4	ENSDARG00000052150	Homeobox	ENSDARP00000095454;ENSDARP00000129739;	30728
Danio_rerio	E2F2	ENSDARG00000079233	E2F	ENSDARP00000100111;	568846
Danio_rerio	si:dkey-85k15	ENSDARG00000090817	zf-C2H2	ENSDARP00000142619;ENSDARP00000153209;	-
Danio_rerio	si:ch211-234c11	ENSDARG00000109255	zf-C2H2	ENSDARP00000135246;ENSDARP00000121439;	-
Danio_rerio	atf7a	ENSDARG00000011298	TF_bZIP	ENSDARP00000007430;	566279
Danio_rerio	si:cabz01021426	ENSDARG00000103850	zf-C2H2	ENSDARP00000137622;ENSDARP00000143180;	100149645
Danio_rerio	znf1061	ENSDARG00000094888	zf-C2H2	ENSDARP00000125154;ENSDARP00000134563;	-
Danio_rerio	cbfb	ENSDARG00000040917	CBF	ENSDARP00000142316;ENSDARP00000142460;ENSDARP00000138911;ENSDARP00000142352;ENSDARP00000059960;ENSDARP00000142411;ENSDARP00000142061;	30744
Danio_rerio	CU655961.4	ENSDARG00000114883	zf-C2H2	ENSDARP00000119980;ENSDARP00000139983;	-
Danio_rerio	si:dkey-30k6	ENSDARG00000057238	zf-C2H2	ENSDARP00000122447;ENSDARP00000146266;	559794
Danio_rerio	elk1	ENSDARG00000078066	ETS	ENSDARP00000131419;ENSDARP00000098027;	567895
Danio_rerio	etv4	ENSDARG00000018303	ETS	ENSDARP00000016969;	30700
Danio_rerio	bcl6b	ENSDARG00000069335	ZBTB	ENSDARP00000154726;ENSDARP00000154726;ENSDARP00000091581;ENSDARP00000091581;	793278
Danio_rerio	znf1154	ENSDARG00000104065	zf-C2H2	ENSDARP00000137114;ENSDARP00000136598;	-
Danio_rerio	gata6	ENSDARG00000103589	zf-GATA	ENSDARP00000137653;ENSDARP00000136299;ENSDARP00000129963;	58076
Danio_rerio	hivep3a	ENSDARG00000075928	zf-C2H2	ENSDARP00000148176;ENSDARP00000115671;	101883448
Danio_rerio	znf1134	ENSDARG00000097842	zf-C2H2	ENSDARP00000128228;	-
Danio_rerio	dlx4a	ENSDARG00000011956	Homeobox	ENSDARP00000122639;	30561
Danio_rerio	si:ch73-299h12	ENSDARG00000104605	zf-C2H2	ENSDARP00000136717;	-
Danio_rerio	CU856622.1	ENSDARG00000106808	zf-C2H2	ENSDARP00000143754;	-
Danio_rerio	znf1020	ENSDARG00000092000	zf-C2H2	ENSDARP00000125279;ENSDARP00000113235;	-
Danio_rerio	hivep2b	ENSDARG00000018773	zf-C2H2	ENSDARP00000004950;	100536055
Danio_rerio	si:dkey-149m13	ENSDARG00000114536	zf-C2H2	ENSDARP00000125329;	-
Danio_rerio	BX004880.4	ENSDARG00000113443	zf-C2H2	ENSDARP00000156830;	-
Danio_rerio	znf1026	ENSDARG00000109604	zf-C2H2	ENSDARP00000116393;ENSDARP00000141492;ENSDARP00000154268;ENSDARP00000121769;ENSDARP00000137652;ENSDARP00000144923;ENSDARP00000137067;ENSDARP00000148689;ENSDARP00000146772;	-
Danio_rerio	hoxb5a	ENSDARG00000013057	Homeobox	ENSDARP00000004270;	30317
Danio_rerio	zgc:173705	ENSDARG00000089875	zf-C2H2	ENSDARP00000125583;ENSDARP00000116199;	100149306
Danio_rerio	znf1115	ENSDARG00000088640	zf-C2H2	ENSDARP00000128239;	-
Danio_rerio	ZNF423	ENSDARG00000059707	zf-C2H2	ENSDARP00000077731;ENSDARP00000155264;ENSDARP00000156375;ENSDARP00000118324;ENSDARP00000146416;ENSDARP00000145409;ENSDARP00000144947;	566696
Danio_rerio	si:ch73-382f3	ENSDARG00000093833	THAP	ENSDARP00000112937;	100151273
Danio_rerio	neurod4	ENSDARG00000117149	bHLH	ENSDARP00000154232;	-
Danio_rerio	nfybb	ENSDARG00000045611	NF-YB	ENSDARP00000127511;ENSDARP00000067071;	503744
Danio_rerio	si:dkey-246j6	ENSDARG00000102999	zf-C2H2	ENSDARP00000125436;	-
Danio_rerio	tbx4	ENSDARG00000030058	T-box	ENSDARP00000010616;ENSDARP00000138962;	30070
Danio_rerio	BX663613.1	ENSDARG00000117132	zf-C2H2	ENSDARP00000125397;	-
Danio_rerio	nfatc3a	ENSDARG00000076297	RHD	ENSDARP00000067888;	561772
Danio_rerio	hic1	ENSDARG00000055493	ZBTB	ENSDARP00000072319;ENSDARP00000072319;	436585
Danio_rerio	lhx1a	ENSDARG00000014018	Homeobox	ENSDARP00000021069;	30463
Danio_rerio	BX088600.1	ENSDARG00000110984	zf-C2H2	ENSDARP00000157648;	-
Danio_rerio	CR847524.4	ENSDARG00000115019	Fork_head	ENSDARP00000153592;	-
Danio_rerio	esr2b	ENSDARG00000034181	ESR-like	ENSDARP00000063411;ENSDARP00000041299;ENSDARP00000118673;	317733
Danio_rerio	BX855614.3	ENSDARG00000101193	zf-C2H2	ENSDARP00000130071;	-
Danio_rerio	mysm1	ENSDARG00000034693	MYB	ENSDARP00000148580;ENSDARP00000107103;	561225
Danio_rerio	olig2	ENSDARG00000040946	bHLH	ENSDARP00000060005;	325288
Danio_rerio	atoh8	ENSDARG00000037555	bHLH	ENSDARP00000054688;	561606
Danio_rerio	bhlhe41	ENSDARG00000041691	bHLH	ENSDARP00000061105;	563771
Danio_rerio	nfxl1	ENSDARG00000070127	zf-NF-X1	ENSDARP00000124661;ENSDARP00000093433;	100333008
Danio_rerio	CR627490.1	ENSDARG00000113345	TF_bZIP	ENSDARP00000154301;	-
Danio_rerio	znf341	ENSDARG00000103725	zf-C2H2	ENSDARP00000136706;ENSDARP00000155151;	100136854
Danio_rerio	znf512	ENSDARG00000041910	zf-C2H2	ENSDARP00000120545;	101882368
Danio_rerio	wu:fc30c06	ENSDARG00000103865	zf-C2H2	ENSDARP00000138031;	324469
Danio_rerio	znf1159	ENSDARG00000101955	zf-C2H2	ENSDARP00000133440;	-
Danio_rerio	si:ch73-299h12	ENSDARG00000104488	zf-C2H2	ENSDARP00000139545;	-
Danio_rerio	tcf7	ENSDARG00000038672	HMG	ENSDARP00000090271;ENSDARP00000124154;ENSDARP00000128252;ENSDARP00000056473;ENSDARP00000129238;ENSDARP00000148615;ENSDARP00000124981;ENSDARP00000124703;ENSDARP00000154649;	497649
Danio_rerio	myt1b	ENSDARG00000102879	zf-C2HC	ENSDARP00000136165;ENSDARP00000147888;ENSDARP00000149518;ENSDARP00000136943;	100536821
Danio_rerio	znf414	ENSDARG00000079229	zf-C2H2	ENSDARP00000100335;ENSDARP00000121954;	562459
Danio_rerio	si:ch211-207e19	ENSDARG00000113022	zf-C2H2	ENSDARP00000136470;	-
Danio_rerio	zgc:173714	ENSDARG00000103495	zf-C2H2	ENSDARP00000140714;	-
Danio_rerio	zbtb10	ENSDARG00000077101	ZBTB	ENSDARP00000097547;ENSDARP00000097547;	566269
Danio_rerio	si:dkey-240n22	ENSDARG00000096001	zf-C2H2	ENSDARP00000143165;ENSDARP00000125246;ENSDARP00000143238;	-
Danio_rerio	tbx22	ENSDARG00000091748	T-box	ENSDARP00000111502;ENSDARP00000120954;	556143
Danio_rerio	rorab	ENSDARG00000001910	THR-like	ENSDARP00000142860;ENSDARP00000015111;	554722
Danio_rerio	znf1021	ENSDARG00000088861	zf-C2H2	ENSDARP00000123203;ENSDARP00000125392;	-
Danio_rerio	CABZ01057488.1	ENSDARG00000104742	RXR-like	ENSDARP00000130594;	-
Danio_rerio	pbx1a	ENSDARG00000100494	Homeobox	ENSDARP00000136221;ENSDARP00000138945;	58138
Danio_rerio	si:dkey-15h8	ENSDARG00000102601	zf-C2H2	ENSDARP00000140175;	-
Danio_rerio	znf1157	ENSDARG00000094736	zf-C2H2	ENSDARP00000123685;ENSDARP00000131610;	-
Danio_rerio	foxp1a	ENSDARG00000004843	Fork_head	ENSDARP00000107924;ENSDARP00000146482;	564127
Danio_rerio	dmrt2b	ENSDARG00000114365	DM	ENSDARP00000149756;	-
Danio_rerio	BX000701.1	ENSDARG00000099172	zf-C2H2	ENSDARP00000140361;	101882267
Danio_rerio	pbx3b	ENSDARG00000013615	Homeobox	ENSDARP00000132516;ENSDARP00000139258;ENSDARP00000153654;ENSDARP00000140154;ENSDARP00000130018;ENSDARP00000136557;	58140
Danio_rerio	ahr1a	ENSDARG00000020046	bHLH	ENSDARP00000116861;ENSDARP00000017676;	246224
Danio_rerio	prdm10	ENSDARG00000104251	zf-C2H2	ENSDARP00000147244;ENSDARP00000131406;	798383
Danio_rerio	CABZ01054394.1	ENSDARG00000090942	zf-C2H2	ENSDARP00000147556;ENSDARP00000106119;	101885996
Danio_rerio	mta3	ENSDARG00000113436	zf-GATA	ENSDARP00000134505;	-
Danio_rerio	mef2aa	ENSDARG00000031756	SRF	ENSDARP00000123273;ENSDARP00000116960;ENSDARP00000154945;ENSDARP00000021792;ENSDARP00000157383;ENSDARP00000156891;ENSDARP00000110624;ENSDARP00000139238;	30564
Danio_rerio	vax1	ENSDARG00000021916	Homeobox	ENSDARP00000039283;	373870
Danio_rerio	tfap2b	ENSDARG00000012667	AP-2	ENSDARP00000143375;	550545
Danio_rerio	nr5a1a	ENSDARG00000103176	SF-like	ENSDARP00000140514;ENSDARP00000135759;ENSDARP00000130433;	83916
Danio_rerio	si:dkey-20i20	ENSDARG00000092246	zf-C2H2	ENSDARP00000120881;	-
Danio_rerio	ebf2	ENSDARG00000042525	COE	ENSDARP00000009986;ENSDARP00000152354;	30692
Danio_rerio	si:dkey-199m13	ENSDARG00000099837	zf-C2H2	ENSDARP00000133061;	-
Danio_rerio	si:ch211-253b8	ENSDARG00000089230	zf-C2H2	ENSDARP00000107486;	562114
Danio_rerio	foxn2b	ENSDARG00000112523	Fork_head	ENSDARP00000150927;	-
Danio_rerio	bhlhe23	ENSDARG00000037588	bHLH	ENSDARP00000054735;	559796
Danio_rerio	znf1089	ENSDARG00000088847	zf-C2H2	ENSDARP00000130864;	-
Danio_rerio	smad3b	ENSDARG00000010207	MH1	ENSDARP00000043454;	326283
Danio_rerio	figla	ENSDARG00000087166	bHLH	ENSDARP00000107434;	387259
Danio_rerio	si:ch211-162i8	ENSDARG00000087168	zf-C2H2	ENSDARP00000125228;	-
Danio_rerio	elk4	ENSDARG00000077092	ETS	ENSDARP00000093624;ENSDARP00000065612;	30093
Danio_rerio	si:dkey-7i4	ENSDARG00000108987	zf-C2H2	ENSDARP00000129335;	-
Danio_rerio	bhlhe40	ENSDARG00000004060	bHLH	ENSDARP00000023917;	324413
Danio_rerio	si:dkey-253d23	ENSDARG00000094427	zf-C2H2	ENSDARP00000096714;	-
Danio_rerio	si:dkey-1b17	ENSDARG00000101425	zf-C2H2	ENSDARP00000134551;	-
Danio_rerio	foxo6b	ENSDARG00000024619	Fork_head	ENSDARP00000107114;	566899
Danio_rerio	rfx1a	ENSDARG00000005883	RFX	ENSDARP00000010260;	100038773
Danio_rerio	yy1b	ENSDARG00000027978	zf-C2H2	ENSDARP00000124590;	406394
Danio_rerio	mbd3b	ENSDARG00000042029	MBD	ENSDARP00000148483;ENSDARP00000131120;	-
Danio_rerio	znf993	ENSDARG00000110787	zf-C2H2	ENSDARP00000119172;ENSDARP00000146349;ENSDARP00000115009;ENSDARP00000141373;ENSDARP00000139748;ENSDARP00000118410;ENSDARP00000137332;ENSDARP00000138326;ENSDARP00000153204;	-
Danio_rerio	cebpd	ENSDARG00000087303	TF_bZIP	ENSDARP00000112432;	140817
Danio_rerio	BX001025.1	ENSDARG00000113627	P53	ENSDARP00000145004;ENSDARP00000147032;ENSDARP00000145074;	-
Danio_rerio	rxrab	ENSDARG00000035127	RXR-like	ENSDARP00000004918;	793011
Danio_rerio	TSC22D3	ENSDARG00000105498	TSC22	ENSDARP00000142194;	393541
Danio_rerio	si:ch73-266f23	ENSDARG00000074298	zf-C2H2	ENSDARP00000143220;ENSDARP00000133475;ENSDARP00000125464;ENSDARP00000131215;ENSDARP00000143055;ENSDARP00000131007;	562615
Danio_rerio	AL929458.1	ENSDARG00000109865	TF_bZIP	ENSDARP00000152466;	-
Danio_rerio	fosb	ENSDARG00000055751	TF_bZIP	ENSDARP00000114070;ENSDARP00000108244;ENSDARP00000072613;ENSDARP00000156988;	492346
Danio_rerio	nr2e3	ENSDARG00000113178	RXR-like	ENSDARP00000152696;	-
Danio_rerio	CABZ01088036.1	ENSDARG00000112923	Miscellaneous	ENSDARP00000157477;	-
Danio_rerio	CABZ01024856.1	ENSDARG00000104013	zf-C2H2	ENSDARP00000133353;	100537431
Danio_rerio	znf281a	ENSDARG00000000567	zf-C2H2	ENSDARP00000128940;ENSDARP00000148332;	100005963
Danio_rerio	nfe2	ENSDARG00000020606	TF_bZIP	ENSDARP00000105608;ENSDARP00000002745;	317765
Danio_rerio	CT737190.1	ENSDARG00000091514	THAP	ENSDARP00000143240;	100536662
Danio_rerio	hlfa	ENSDARG00000074752	TF_bZIP	ENSDARP00000106703;	768192
Danio_rerio	lmx1al	ENSDARG00000077915	Homeobox	ENSDARP00000131166;ENSDARP00000089596;	100149437
Danio_rerio	mbd2	ENSDARG00000075952	MBD	ENSDARP00000154272;ENSDARP00000136077;	-
Danio_rerio	atf3	ENSDARG00000007823	TF_bZIP	ENSDARP00000027550;	393939
Danio_rerio	BX855614.4	ENSDARG00000105816	zf-C2H2	ENSDARP00000143215;	-
Danio_rerio	foxe3	ENSDARG00000062892	Fork_head	ENSDARP00000085869;	570855
Danio_rerio	tbx16	ENSDARG00000007329	T-box	ENSDARP00000003051;	30264
Danio_rerio	CSDC2	ENSDARG00000100167	CSD	ENSDARP00000130403;	557375
Danio_rerio	LO018029.2	ENSDARG00000113837	zf-C2H2	ENSDARP00000154754;	-
Danio_rerio	BX321879.1	ENSDARG00000114681	Homeobox	ENSDARP00000152686;	-
Danio_rerio	rreb1a	ENSDARG00000063701	zf-C2H2	ENSDARP00000149952;ENSDARP00000087763;ENSDARP00000147091;ENSDARP00000118235;	338237
Danio_rerio	BX470259.2	ENSDARG00000102658	zf-C2H2	ENSDARP00000113271;	100151757
Danio_rerio	znf972	ENSDARG00000111731	zf-C2H2	ENSDARP00000140458;	-
Danio_rerio	zgc:113886	ENSDARG00000053165	zf-C2H2	ENSDARP00000069644;ENSDARP00000097007;	568840
Danio_rerio	irf8	ENSDARG00000056407	IRF	ENSDARP00000073353;	436895
Danio_rerio	atf5b	ENSDARG00000077785	TF_bZIP	ENSDARP00000098375;ENSDARP00000127988;	567253
Danio_rerio	si:dkey-3p4	ENSDARG00000100959	zf-C2H2	ENSDARP00000132574;ENSDARP00000134176;	-
Danio_rerio	myf5	ENSDARG00000007277	bHLH	ENSDARP00000109289;ENSDARP00000098724;	58097
Danio_rerio	si:dkey-111k8	ENSDARG00000098021	zf-C2H2	ENSDARP00000128584;ENSDARP00000133960;	-
Danio_rerio	irx3b	ENSDARG00000031138	Homeobox	ENSDARP00000042270;	321806
Danio_rerio	hoxd9a	ENSDARG00000059274	Homeobox	ENSDARP00000076790;	30350
Danio_rerio	rbpja	ENSDARG00000003398	CSL	ENSDARP00000026585;	386772
Danio_rerio	znf1046	ENSDARG00000116216	zf-C2H2	ENSDARP00000119312;ENSDARP00000146512;	-
Danio_rerio	lcorl	ENSDARG00000070098	HTH	ENSDARP00000128036;ENSDARP00000093375;	558430
Danio_rerio	isl2b	ENSDARG00000053499	Homeobox	ENSDARP00000055935;	30151
Danio_rerio	myog	ENSDARG00000009438	bHLH	ENSDARP00000147847;ENSDARP00000010347;ENSDARP00000137676;	30200
Danio_rerio	si:ch211-222k6	ENSDARG00000087046	zf-C2H2	ENSDARP00000114777;	-
