zf_xp_gene	xp_gene	zf_gene
zf_xp_gene_35	LOC100145479	ENSDARG00000099943
zf_xp_gene_36	LOC100145489	ENSDARG00000073765
zf_xp_gene_37	LOC100145489	ENSDARG00000037924
zf_xp_gene_38	LOC100145523	ENSDARG00000061436
zf_xp_gene_39	LOC100145576	ENSDARG00000016710
zf_xp_gene_40	LOC100145581	ENSDARG00000014939
zf_xp_gene_41	LOC100145689	ENSDARG00000054264
zf_xp_gene_42	LOC100145754	ENSDARG00000077431
zf_xp_gene_43	LOC100158464	ENSDARG00000027099
zf_xp_gene_44	LOC100158546	ENSDARG00000007135
zf_xp_gene_45	LOC100158546	ENSDARG00000019842
zf_xp_gene_46	LOC100158552	ENSDARG00000029556
zf_xp_gene_47	LOC100158563	ENSDARG00000037109
zf_xp_gene_48	LOC100170488	ENSDARG00000002959
zf_xp_gene_49	LOC100170494	ENSDARG00000100606
zf_xp_gene_50	LOC100170502	ENSDARG00000058280
zf_xp_gene_51	LOC100216088	ENSDARG00000074331
zf_xp_gene_52	LOC100216088	ENSDARG00000077215
zf_xp_gene_53	LOC100216126	ENSDARG00000042529
zf_xp_gene_54	LOC100216149	ENSDARG00000016750
zf_xp_gene_55	LOC100216149	ENSDARG00000094901
zf_xp_gene_56	LOC100216149	ENSDARG00000077988
zf_xp_gene_57	LOC100216261-like	ENSDARG00000007465
zf_xp_gene_58	LOC100216277	ENSDARG00000062749
zf_xp_gene_59	LOC100327245	ENSDARG00000089033
zf_xp_gene_60	LOC100484998-like	ENSDARG00000091090
zf_xp_gene_61	LOC100484998-like	ENSDARG00000071113
zf_xp_gene_62	LOC100485002	ENSDARG00000096594
zf_xp_gene_63	LOC100485014	ENSDARG00000020204
zf_xp_gene_64	LOC100485035	ENSDARG00000029457
zf_xp_gene_65	LOC100485035	ENSDARG00000042552
zf_xp_gene_66	LOC100485039-like	ENSDARG00000061690
zf_xp_gene_67	LOC100485050	ENSDARG00000076609
zf_xp_gene_68	LOC100485061	ENSDARG00000011925
zf_xp_gene_69	LOC100485082	ENSDARG00000054978
zf_xp_gene_70	LOC100485091	ENSDARG00000059361
zf_xp_gene_71	LOC100485113	ENSDARG00000092872
zf_xp_gene_72	LOC100485117	ENSDARG00000076752
zf_xp_gene_73	LOC100485140	ENSDARG00000101089
zf_xp_gene_74	LOC100485177	ENSDARG00000017422
zf_xp_gene_75	LOC100485203	ENSDARG00000077434
zf_xp_gene_76	LOC100485203	ENSDARG00000035686
zf_xp_gene_77	LOC100485260-like	ENSDARG00000053713
zf_xp_gene_78	LOC100485266	ENSDARG00000092872
zf_xp_gene_79	LOC100485269	ENSDARG00000101482
zf_xp_gene_80	LOC100485278	ENSDARG00000104024
zf_xp_gene_81	LOC100485319	ENSDARG00000087190
zf_xp_gene_82	LOC100485348	ENSDARG00000101364
zf_xp_gene_83	LOC100485348	ENSDARG00000090185
zf_xp_gene_84	LOC100485348	ENSDARG00000089361
zf_xp_gene_85	LOC100485348	ENSDARG00000102332
zf_xp_gene_86	LOC100485348	ENSDARG00000012467
zf_xp_gene_87	LOC100485350	ENSDARG00000070478
zf_xp_gene_88	LOC100485352	ENSDARG00000061690
zf_xp_gene_89	LOC100485357	ENSDARG00000069995
zf_xp_gene_90	LOC100485387-like.1	ENSDARG00000034117
zf_xp_gene_91	LOC100485394	ENSDARG00000100086
zf_xp_gene_92	LOC100485394	ENSDARG00000062228
zf_xp_gene_93	LOC100485411	ENSDARG00000016396
zf_xp_gene_94	LOC100485411	ENSDARG00000013813
zf_xp_gene_95	LOC100485447	ENSDARG00000090145
zf_xp_gene_96	LOC100485447	ENSDARG00000087916
zf_xp_gene_97	LOC100485488	ENSDARG00000052618
zf_xp_gene_98	LOC100485509	ENSDARG00000061690
zf_xp_gene_99	LOC100485518	ENSDARG00000098365
zf_xp_gene_100	LOC100485539-like	ENSDARG00000062837
zf_xp_gene_101	LOC100485630	ENSDARG00000071701
zf_xp_gene_102	LOC100485630	ENSDARG00000099562
zf_xp_gene_103	LOC100485630	ENSDARG00000056874
zf_xp_gene_104	LOC100485638	ENSDARG00000074126
zf_xp_gene_105	LOC100485652	ENSDARG00000102061
zf_xp_gene_106	LOC100485662	ENSDARG00000060915
zf_xp_gene_107	LOC100485686	ENSDARG00000058803
zf_xp_gene_108	LOC100485693	ENSDARG00000075468
zf_xp_gene_109	LOC100485697	ENSDARG00000019835
zf_xp_gene_110	LOC100485698	ENSDARG00000075292
zf_xp_gene_111	LOC100485698	ENSDARG00000078474
zf_xp_gene_112	LOC100485703	ENSDARG00000086405
zf_xp_gene_113	LOC100485719-like	ENSDARG00000075397
zf_xp_gene_114	LOC100485719-like	ENSDARG00000078095
zf_xp_gene_115	LOC100485722	ENSDARG00000078800
zf_xp_gene_116	LOC100485734	ENSDARG00000074041
zf_xp_gene_117	LOC100485767-like	ENSDARG00000012368
zf_xp_gene_118	LOC100485774	ENSDARG00000069192
zf_xp_gene_119	LOC100485774	ENSDARG00000007795
zf_xp_gene_120	LOC100485775	ENSDARG00000104125
zf_xp_gene_121	LOC100485780	ENSDARG00000013926
zf_xp_gene_122	LOC100485780	ENSDARG00000104687
zf_xp_gene_123	LOC100485784-like	ENSDARG00000101478
zf_xp_gene_124	LOC100485787	ENSDARG00000016048
zf_xp_gene_125	LOC100485787	ENSDARG00000006491
zf_xp_gene_126	LOC100485792	ENSDARG00000006892
zf_xp_gene_127	LOC100485829	ENSDARG00000069733
zf_xp_gene_128	LOC100485839	ENSDARG00000042922
zf_xp_gene_129	LOC100485853	ENSDARG00000008832
zf_xp_gene_130	LOC100485859	ENSDARG00000100047
zf_xp_gene_131	LOC100485898-like	ENSDARG00000025858
zf_xp_gene_132	LOC100485932	ENSDARG00000001898
zf_xp_gene_133	LOC100485939	ENSDARG00000044241
zf_xp_gene_134	LOC100485939	ENSDARG00000043569
zf_xp_gene_135	LOC100485959-like.1	ENSDARG00000010844
zf_xp_gene_136	LOC100485966	ENSDARG00000090035
zf_xp_gene_137	LOC100485974-like	ENSDARG00000100007
zf_xp_gene_138	LOC100485992	ENSDARG00000074435
zf_xp_gene_139	LOC100485993	ENSDARG00000099116
zf_xp_gene_140	LOC100485996	ENSDARG00000008732
zf_xp_gene_141	LOC100486044	ENSDARG00000075933
zf_xp_gene_142	LOC100486057	ENSDARG00000103929
zf_xp_gene_143	LOC100486057	ENSDARG00000040910
zf_xp_gene_144	LOC100486063	ENSDARG00000112419
zf_xp_gene_145	LOC100486088	ENSDARG00000097651
zf_xp_gene_146	LOC100486088	ENSDARG00000098837
zf_xp_gene_147	LOC100486090	ENSDARG00000003934
zf_xp_gene_148	LOC100486092	ENSDARG00000030753
zf_xp_gene_149	LOC100486093-like	ENSDARG00000042977
zf_xp_gene_150	LOC100486103	ENSDARG00000102061
zf_xp_gene_151	LOC100486112-like	ENSDARG00000078868
zf_xp_gene_152	LOC100486119	ENSDARG00000030782
zf_xp_gene_153	LOC100486119	ENSDARG00000008414
zf_xp_gene_154	LOC100486146	ENSDARG00000045561
zf_xp_gene_155	LOC100486160-like	ENSDARG00000044551
zf_xp_gene_156	LOC100486199-like	ENSDARG00000053956
zf_xp_gene_157	LOC100486204-like	ENSDARG00000099746
zf_xp_gene_158	LOC100486204-like	ENSDARG00000094605
zf_xp_gene_159	LOC100486204-like	ENSDARG00000035132
zf_xp_gene_160	LOC100486206-like	ENSDARG00000004251
zf_xp_gene_161	LOC100486206-like	ENSDARG00000068876
zf_xp_gene_162	LOC100486229	ENSDARG00000042856
zf_xp_gene_163	LOC100486246	ENSDARG00000102061
zf_xp_gene_164	LOC100486258	ENSDARG00000061690
zf_xp_gene_165	LOC100486261-like	ENSDARG00000062307
zf_xp_gene_166	LOC100486294	ENSDARG00000012341
zf_xp_gene_167	LOC100486299	ENSDARG00000075189
zf_xp_gene_168	LOC100486299	ENSDARG00000073802
zf_xp_gene_169	LOC100486299	ENSDARG00000073920
zf_xp_gene_170	LOC100486306	ENSDARG00000057049
zf_xp_gene_171	LOC100486342	ENSDARG00000060471
zf_xp_gene_172	LOC100486344	ENSDARG00000043130
zf_xp_gene_173	LOC100486344	ENSDARG00000104329
zf_xp_gene_174	LOC100486348	ENSDARG00000079967
zf_xp_gene_175	LOC100486355-like	ENSDARG00000103123
zf_xp_gene_176	LOC100486360	ENSDARG00000069150
zf_xp_gene_177	LOC100486380	ENSDARG00000044365
zf_xp_gene_178	LOC100486394-like	ENSDARG00000014599
zf_xp_gene_179	LOC100486394-like	ENSDARG00000042859
zf_xp_gene_180	LOC100486416	ENSDARG00000070320
zf_xp_gene_181	LOC100486436-like	ENSDARG00000100751
zf_xp_gene_182	LOC100486454	ENSDARG00000063019
zf_xp_gene_183	LOC100486469	ENSDARG00000098670
zf_xp_gene_184	LOC100486483	ENSDARG00000040643
zf_xp_gene_185	LOC100486488	ENSDARG00000063088
zf_xp_gene_186	LOC100486488	ENSDARG00000058535
zf_xp_gene_187	LOC100486488	ENSDARG00000079661
zf_xp_gene_188	LOC100486488	ENSDARG00000041292
zf_xp_gene_189	LOC100486512	ENSDARG00000103537
zf_xp_gene_190	LOC100486522	ENSDARG00000058178
zf_xp_gene_191	LOC100486522	ENSDARG00000055066
zf_xp_gene_192	LOC100486534	ENSDARG00000103433
zf_xp_gene_193	LOC100486554	ENSDARG00000074669
zf_xp_gene_194	LOC100486554	ENSDARG00000115540
zf_xp_gene_195	LOC100486585	ENSDARG00000039697
zf_xp_gene_196	LOC100486588	ENSDARG00000071683
zf_xp_gene_197	LOC100486592	ENSDARG00000052376
zf_xp_gene_198	LOC100486592	ENSDARG00000091902
zf_xp_gene_199	LOC100486595-like	ENSDARG00000035326
zf_xp_gene_200	LOC100486615	ENSDARG00000016490
zf_xp_gene_201	LOC100486631	ENSDARG00000011783
zf_xp_gene_202	LOC100486631	ENSDARG00000053668
zf_xp_gene_203	LOC100486632-like	ENSDARG00000017365
zf_xp_gene_204	LOC100486637	ENSDARG00000044767
zf_xp_gene_205	LOC100486640-like	ENSDARG00000010070
zf_xp_gene_206	LOC100486641	ENSDARG00000060518
zf_xp_gene_207	LOC100486659	ENSDARG00000061385
zf_xp_gene_208	LOC100486753	ENSDARG00000090469
zf_xp_gene_209	LOC100486753	ENSDARG00000103687
zf_xp_gene_210	LOC100486779	ENSDARG00000074633
zf_xp_gene_211	LOC100486794	ENSDARG00000045683
zf_xp_gene_212	LOC100486803	ENSDARG00000063088
zf_xp_gene_213	LOC100486803	ENSDARG00000058535
zf_xp_gene_214	LOC100486803	ENSDARG00000079661
zf_xp_gene_215	LOC100486803	ENSDARG00000041292
zf_xp_gene_216	LOC100486825	ENSDARG00000042737
zf_xp_gene_217	LOC100486844	ENSDARG00000059510
zf_xp_gene_218	LOC100486858	ENSDARG00000060586
zf_xp_gene_219	LOC100486858	ENSDARG00000061587
zf_xp_gene_220	LOC100486877	ENSDARG00000015985
zf_xp_gene_221	LOC100486893	ENSDARG00000017744
zf_xp_gene_222	LOC100486898-like	ENSDARG00000075593
zf_xp_gene_223	LOC100486900	ENSDARG00000076248
zf_xp_gene_224	LOC100486900	ENSDARG00000077513
zf_xp_gene_225	LOC100486901	ENSDARG00000094587
zf_xp_gene_226	LOC100486904	ENSDARG00000099950
zf_xp_gene_227	LOC100486909	ENSDARG00000062900
zf_xp_gene_228	LOC100486909	ENSDARG00000062450
zf_xp_gene_229	LOC100486929	ENSDARG00000001442
zf_xp_gene_230	LOC100486931	ENSDARG00000003383
zf_xp_gene_231	LOC100486956-like.1	ENSDARG00000062956
zf_xp_gene_232	LOC100486956-like.2	ENSDARG00000062956
zf_xp_gene_233	LOC100486956-like.3	ENSDARG00000062956
zf_xp_gene_234	LOC100486956-like.4	ENSDARG00000062956
zf_xp_gene_235	LOC100486973-like	ENSDARG00000044436
zf_xp_gene_236	LOC100486976	ENSDARG00000057677
zf_xp_gene_237	LOC100486993	ENSDARG00000079276
zf_xp_gene_238	LOC100487003	ENSDARG00000102772
zf_xp_gene_239	LOC100487006	ENSDARG00000070092
zf_xp_gene_240	LOC100487019	ENSDARG00000061023
zf_xp_gene_241	LOC100487049	ENSDARG00000009387
zf_xp_gene_242	LOC100487058	ENSDARG00000099950
zf_xp_gene_243	LOC100487082	ENSDARG00000099959
zf_xp_gene_244	LOC100487082	ENSDARG00000103969
zf_xp_gene_245	LOC100487082	ENSDARG00000103837
zf_xp_gene_246	LOC100487082	ENSDARG00000114031
zf_xp_gene_247	LOC100487086	ENSDARG00000007490
zf_xp_gene_248	LOC100487089-like	ENSDARG00000012914
zf_xp_gene_249	LOC100487103	ENSDARG00000098424
zf_xp_gene_250	LOC100487103	ENSDARG00000074453
zf_xp_gene_251	LOC100487141	ENSDARG00000014916
zf_xp_gene_252	LOC100487159-like	ENSDARG00000078643
zf_xp_gene_253	LOC100487185-like	ENSDARG00000036430
zf_xp_gene_254	LOC100487185-like	ENSDARG00000104221
zf_xp_gene_255	LOC100487194-like	ENSDARG00000055560
zf_xp_gene_256	LOC100487196	ENSDARG00000031317
zf_xp_gene_257	LOC100487196	ENSDARG00000007682
zf_xp_gene_258	LOC100487198	ENSDARG00000011925
zf_xp_gene_259	LOC100487203	ENSDARG00000075229
zf_xp_gene_260	LOC100487225	ENSDARG00000062084
zf_xp_gene_261	LOC100487225	ENSDARG00000012269
zf_xp_gene_262	LOC100487248-like	ENSDARG00000013711
zf_xp_gene_263	LOC100487261	ENSDARG00000020228
zf_xp_gene_264	LOC100487263	ENSDARG00000073686
zf_xp_gene_265	LOC100487280	ENSDARG00000018904
zf_xp_gene_266	LOC100487287-like	ENSDARG00000020541
zf_xp_gene_267	LOC100487316-like	ENSDARG00000044567
zf_xp_gene_268	LOC100487324	ENSDARG00000015156
zf_xp_gene_269	LOC100487326	ENSDARG00000063416
zf_xp_gene_270	LOC100487349	ENSDARG00000068143
zf_xp_gene_271	LOC100487354	ENSDARG00000075229
zf_xp_gene_272	LOC100487355-like	ENSDARG00000060081
zf_xp_gene_273	LOC100487379	ENSDARG00000090396
zf_xp_gene_274	LOC100487393	ENSDARG00000078157
zf_xp_gene_275	LOC100487401	ENSDARG00000010317
zf_xp_gene_276	LOC100487401	ENSDARG00000074302
zf_xp_gene_277	LOC100487412	ENSDARG00000103146
zf_xp_gene_278	LOC100487427	ENSDARG00000014239
zf_xp_gene_279	LOC100487427	ENSDARG00000034714
zf_xp_gene_280	LOC100487431	ENSDARG00000018904
zf_xp_gene_281	LOC100487433-like	ENSDARG00000076121
zf_xp_gene_282	LOC100487438	ENSDARG00000059305
zf_xp_gene_283	LOC100487469	ENSDARG00000003512
zf_xp_gene_284	LOC100487502	ENSDARG00000093684
zf_xp_gene_285	LOC100487507-like	ENSDARG00000075229
zf_xp_gene_286	LOC100487527	ENSDARG00000056590
zf_xp_gene_287	LOC100487567-like	ENSDARG00000010655
zf_xp_gene_288	LOC100487567-like	ENSDARG00000076011
zf_xp_gene_289	LOC100487583	ENSDARG00000061265
zf_xp_gene_290	LOC100487668	ENSDARG00000038095
zf_xp_gene_291	LOC100487727	ENSDARG00000010784
zf_xp_gene_292	LOC100487728	ENSDARG00000098862
zf_xp_gene_293	LOC100487774	ENSDARG00000030530
zf_xp_gene_294	LOC100487779	ENSDARG00000061061
zf_xp_gene_295	LOC100487782	ENSDARG00000101702
zf_xp_gene_296	LOC100487792	ENSDARG00000011925
zf_xp_gene_297	LOC100487804	ENSDARG00000019130
zf_xp_gene_298	LOC100487804	ENSDARG00000090752
zf_xp_gene_299	LOC100487834	ENSDARG00000010565
zf_xp_gene_300	LOC100487878-like	ENSDARG00000038360
zf_xp_gene_301	LOC100487884-like	ENSDARG00000045486
zf_xp_gene_302	LOC100487885	ENSDARG00000101983
zf_xp_gene_303	LOC100487886	ENSDARG00000034757
zf_xp_gene_304	LOC100487899-like	ENSDARG00000043406
zf_xp_gene_305	LOC100487901-like	ENSDARG00000089922
zf_xp_gene_306	LOC100487930	ENSDARG00000056832
zf_xp_gene_307	LOC100487945	ENSDARG00000000380
zf_xp_gene_308	LOC100487945	ENSDARG00000011671
zf_xp_gene_309	LOC100487948	ENSDARG00000077618
zf_xp_gene_310	LOC100487957	ENSDARG00000069594
zf_xp_gene_311	LOC100487964	ENSDARG00000002128
zf_xp_gene_312	LOC100487967-like	ENSDARG00000024160
zf_xp_gene_313	LOC100487981	ENSDARG00000041554
zf_xp_gene_314	LOC100488015	ENSDARG00000053068
zf_xp_gene_315	LOC100488015	ENSDARG00000097556
zf_xp_gene_316	LOC100488015	ENSDARG00000097559
zf_xp_gene_317	LOC100488028-like	ENSDARG00000079049
zf_xp_gene_318	LOC100488052	ENSDARG00000068992
zf_xp_gene_319	LOC100488052	ENSDARG00000037403
zf_xp_gene_320	LOC100488071	ENSDARG00000060725
zf_xp_gene_321	LOC100488071	ENSDARG00000059699
zf_xp_gene_322	LOC100488079-like	ENSDARG00000092155
zf_xp_gene_323	LOC100488102	ENSDARG00000087373
zf_xp_gene_324	LOC100488131	ENSDARG00000076805
zf_xp_gene_325	LOC100488168	ENSDARG00000053068
zf_xp_gene_326	LOC100488168	ENSDARG00000097556
zf_xp_gene_327	LOC100488168	ENSDARG00000097559
zf_xp_gene_328	LOC100488173	ENSDARG00000070098
zf_xp_gene_329	LOC100488209	ENSDARG00000070331
zf_xp_gene_330	LOC100488209	ENSDARG00000099470
zf_xp_gene_331	LOC100488209	ENSDARG00000058556
zf_xp_gene_332	LOC100488229	ENSDARG00000103311
zf_xp_gene_333	LOC100488276	ENSDARG00000098826
zf_xp_gene_334	LOC100488277	ENSDARG00000071032
zf_xp_gene_335	LOC100488314	ENSDARG00000022176
zf_xp_gene_336	LOC100488329	ENSDARG00000038683
zf_xp_gene_337	LOC100488329	ENSDARG00000090783
zf_xp_gene_338	LOC100488329	ENSDARG00000038682
zf_xp_gene_339	LOC100488336	ENSDARG00000087241
zf_xp_gene_340	LOC100488360-like	ENSDARG00000060348
zf_xp_gene_341	LOC100488420	ENSDARG00000040291
zf_xp_gene_342	LOC100488444	ENSDARG00000062934
zf_xp_gene_343	LOC100488464	ENSDARG00000104042
zf_xp_gene_344	LOC100488523	ENSDARG00000069473
zf_xp_gene_345	LOC100488527	ENSDARG00000009218
zf_xp_gene_346	LOC100488540	ENSDARG00000008383
zf_xp_gene_347	LOC100488558-like	ENSDARG00000078391
zf_xp_gene_348	LOC100488561	ENSDARG00000061398
zf_xp_gene_349	LOC100488567	ENSDARG00000073707
zf_xp_gene_350	LOC100488567	ENSDARG00000074480
zf_xp_gene_351	LOC100488577	ENSDARG00000019950
zf_xp_gene_352	LOC100488607	ENSDARG00000032831
zf_xp_gene_353	LOC100488607	ENSDARG00000014907
zf_xp_gene_354	LOC100488610	ENSDARG00000029907
zf_xp_gene_355	LOC100488634	ENSDARG00000056037
zf_xp_gene_356	LOC100488644	ENSDARG00000038683
zf_xp_gene_357	LOC100488644	ENSDARG00000090783
zf_xp_gene_358	LOC100488644	ENSDARG00000038682
zf_xp_gene_359	LOC100488646	ENSDARG00000074384
zf_xp_gene_360	LOC100488683	ENSDARG00000067669
zf_xp_gene_361	LOC100488695	ENSDARG00000052094
zf_xp_gene_362	LOC100488695	ENSDARG00000103554
zf_xp_gene_363	LOC100488775-like	ENSDARG00000060062
zf_xp_gene_364	LOC100488795-like	ENSDARG00000037140
zf_xp_gene_365	LOC100488804	ENSDARG00000059438
zf_xp_gene_366	LOC100488804	ENSDARG00000100889
zf_xp_gene_367	LOC100488806	ENSDARG00000041173
zf_xp_gene_368	LOC100488806	ENSDARG00000011317
zf_xp_gene_369	LOC100488825	ENSDARG00000016161
zf_xp_gene_370	LOC100488827	ENSDARG00000104906
zf_xp_gene_371	LOC100488846-like	ENSDARG00000032868
zf_xp_gene_372	LOC100488846-like	ENSDARG00000074233
zf_xp_gene_373	LOC100488859	ENSDARG00000061385
zf_xp_gene_374	LOC100488881	ENSDARG00000040534
zf_xp_gene_375	LOC100488895	ENSDARG00000029668
zf_xp_gene_376	LOC100488900	ENSDARG00000030621
zf_xp_gene_377	LOC100488920-like	ENSDARG00000102115
zf_xp_gene_378	LOC100488928	ENSDARG00000042881
zf_xp_gene_379	LOC100488941	ENSDARG00000076183
zf_xp_gene_380	LOC100488948	ENSDARG00000087203
zf_xp_gene_381	LOC100488959-like	ENSDARG00000090664
zf_xp_gene_382	LOC100488961	ENSDARG00000058237
zf_xp_gene_383	LOC100488961	ENSDARG00000030155
zf_xp_gene_384	LOC100489073	ENSDARG00000075795
zf_xp_gene_385	LOC100489083-like.1	ENSDARG00000007711
zf_xp_gene_386	LOC100489083-like.2	ENSDARG00000007711
zf_xp_gene_387	LOC100489101	ENSDARG00000097071
zf_xp_gene_388	LOC100489103	ENSDARG00000012369
zf_xp_gene_389	LOC100489103	ENSDARG00000058730
zf_xp_gene_390	LOC100489110	ENSDARG00000010773
zf_xp_gene_391	LOC100489128	ENSDARG00000074634
zf_xp_gene_392	LOC100489151	ENSDARG00000055570
zf_xp_gene_393	LOC100489188	ENSDARG00000014479
zf_xp_gene_394	LOC100489191	ENSDARG00000011449
zf_xp_gene_395	LOC100489217-like	ENSDARG00000101405
zf_xp_gene_396	LOC100489230	ENSDARG00000102066
zf_xp_gene_397	LOC100489248	ENSDARG00000053728
zf_xp_gene_398	LOC100489250	ENSDARG00000086100
zf_xp_gene_399	LOC100489268-like	ENSDARG00000071271
zf_xp_gene_400	LOC100489278-like	ENSDARG00000102061
zf_xp_gene_401	LOC100489281	ENSDARG00000099738
zf_xp_gene_402	LOC100489281	ENSDARG00000055186
zf_xp_gene_403	LOC100489291	ENSDARG00000044556
zf_xp_gene_404	LOC100489299	ENSDARG00000036728
zf_xp_gene_405	LOC100489305	ENSDARG00000046012
zf_xp_gene_406	LOC100489307	ENSDARG00000060058
zf_xp_gene_407	LOC100489312	ENSDARG00000036728
zf_xp_gene_408	LOC100489313	ENSDARG00000076449
zf_xp_gene_409	LOC100489322-like	ENSDARG00000004115
zf_xp_gene_410	LOC100489346	ENSDARG00000078755
zf_xp_gene_411	LOC100489346	ENSDARG00000079671
zf_xp_gene_412	LOC100489356-like	ENSDARG00000103505
zf_xp_gene_413	LOC100489385	ENSDARG00000102261
zf_xp_gene_414	LOC100489443	ENSDARG00000099113
zf_xp_gene_415	LOC100489463	ENSDARG00000046012
zf_xp_gene_416	LOC100489464	ENSDARG00000054150
zf_xp_gene_417	LOC100489474	ENSDARG00000036728
zf_xp_gene_418	LOC100489509-like	ENSDARG00000013393
zf_xp_gene_419	LOC100489510	ENSDARG00000055560
zf_xp_gene_420	LOC100489540	ENSDARG00000077656
zf_xp_gene_421	LOC100489545	ENSDARG00000114678
zf_xp_gene_422	LOC100489545	ENSDARG00000041828
zf_xp_gene_423	LOC100489545	ENSDARG00000020812
zf_xp_gene_424	LOC100489545	ENSDARG00000090038
zf_xp_gene_425	LOC100489545	ENSDARG00000077337
zf_xp_gene_426	LOC100489545	ENSDARG00000090277
zf_xp_gene_427	LOC100489549	ENSDARG00000034165
zf_xp_gene_428	LOC100489549	ENSDARG00000035899
zf_xp_gene_429	LOC100489552	ENSDARG00000075698
zf_xp_gene_430	LOC100489580-like	ENSDARG00000030588
zf_xp_gene_431	LOC100489600	ENSDARG00000087832
zf_xp_gene_432	LOC100489603-like	ENSDARG00000003061
zf_xp_gene_433	LOC100489634	ENSDARG00000036728
zf_xp_gene_434	LOC100489676	ENSDARG00000100679
zf_xp_gene_435	LOC100489679	ENSDARG00000027469
zf_xp_gene_436	LOC100489685	ENSDARG00000077162
zf_xp_gene_437	LOC100489686	ENSDARG00000041736
zf_xp_gene_438	LOC100489687-like	ENSDARG00000086126
zf_xp_gene_439	LOC100489709	ENSDARG00000076974
zf_xp_gene_440	LOC100489725	ENSDARG00000015998
zf_xp_gene_441	LOC100489764	ENSDARG00000009958
zf_xp_gene_442	LOC100489771	ENSDARG00000058985
zf_xp_gene_443	LOC100489773-like	ENSDARG00000039729
zf_xp_gene_444	LOC100489773-like	ENSDARG00000029463
zf_xp_gene_445	LOC100489807	ENSDARG00000111170
zf_xp_gene_446	LOC100489823	ENSDARG00000099724
zf_xp_gene_447	LOC100489839-like	ENSDARG00000076183
zf_xp_gene_448	LOC100489843-like	ENSDARG00000058325
zf_xp_gene_449	LOC100489843-like	ENSDARG00000086266
zf_xp_gene_450	LOC100489843-like	ENSDARG00000112575
zf_xp_gene_451	LOC100489862	ENSDARG00000078475
zf_xp_gene_452	LOC100489909-like	ENSDARG00000043646
zf_xp_gene_453	LOC100489920-like	ENSDARG00000063525
zf_xp_gene_454	LOC100489974	ENSDARG00000036728
zf_xp_gene_455	LOC100489977	ENSDARG00000038976
zf_xp_gene_456	LOC100489980-like	ENSDARG00000056029
zf_xp_gene_457	LOC100489982	ENSDARG00000079731
zf_xp_gene_458	LOC100489982	ENSDARG00000073859
zf_xp_gene_459	LOC100489995	ENSDARG00000016573
zf_xp_gene_460	LOC100490036	ENSDARG00000059944
zf_xp_gene_461	LOC100490041	ENSDARG00000102568
zf_xp_gene_462	LOC100490041	ENSDARG00000077481
zf_xp_gene_463	LOC100490041	ENSDARG00000075561
zf_xp_gene_464	LOC100490068	ENSDARG00000104709
zf_xp_gene_465	LOC100490082	ENSDARG00000103840
zf_xp_gene_466	LOC100490095	ENSDARG00000060941
zf_xp_gene_467	LOC100490105	ENSDARG00000102061
zf_xp_gene_468	LOC100490116	ENSDARG00000091576
zf_xp_gene_469	LOC100490155-like	ENSDARG00000016875
zf_xp_gene_470	LOC100490204-like	ENSDARG00000057013
zf_xp_gene_471	LOC100490216	ENSDARG00000017365
zf_xp_gene_472	LOC100490227	ENSDARG00000069998
zf_xp_gene_473	LOC100490227	ENSDARG00000002797
zf_xp_gene_474	LOC100490227	ENSDARG00000078178
