mm_zf_gene	zf_gene	mm_gene
mm_zf_gene_170	ENSDARG00000003854	ENSMUSG00000018796
mm_zf_gene_171	ENSDARG00000032079	ENSMUSG00000032883
mm_zf_gene_172	ENSDARG00000004078	ENSMUSG00000031278
mm_zf_gene_173	ENSDARG00000010752	ENSMUSG00000031278
mm_zf_gene_174	ENSDARG00000075931	ENSMUSG00000024981
mm_zf_gene_175	ENSDARG00000004880	ENSMUSG00000030935
mm_zf_gene_176	ENSDARG00000044142	ENSMUSG00000027452
mm_zf_gene_177	ENSDARG00000037781	ENSMUSG00000027605
mm_zf_gene_178	ENSDARG00000069029	ENSMUSG00000047026
mm_zf_gene_179	ENSDARG00000069029	ENSMUSG00000030972
mm_zf_gene_180	ENSDARG00000069029	ENSMUSG00000033533
mm_zf_gene_181	ENSDARG00000032218	ENSMUSG00000035948
mm_zf_gene_182	ENSDARG00000036371	ENSMUSG00000031972
mm_zf_gene_183	ENSDARG00000055618	ENSMUSG00000031972
mm_zf_gene_184	ENSDARG00000037746	ENSMUSG00000062825
mm_zf_gene_185	ENSDARG00000037746	ENSMUSG00000029580
mm_zf_gene_186	ENSDARG00000037746	ENSMUSG00000099104
mm_zf_gene_187	ENSDARG00000070828	ENSMUSG00000027671
mm_zf_gene_188	ENSDARG00000034107	ENSMUSG00000029712
mm_zf_gene_189	ENSDARG00000007219	ENSMUSG00000015143
mm_zf_gene_190	ENSDARG00000071090	ENSMUSG00000052374
mm_zf_gene_191	ENSDARG00000011611	ENSMUSG00000025228
mm_zf_gene_192	ENSDARG00000038432	ENSMUSG00000021076
mm_zf_gene_193	ENSDARG00000052438	ENSMUSG00000020152
mm_zf_gene_194	ENSDARG00000070076	ENSMUSG00000020152
mm_zf_gene_195	ENSDARG00000091138	ENSMUSG00000026341
mm_zf_gene_196	ENSDARG00000008790	ENSMUSG00000056367
mm_zf_gene_197	ENSDARG00000098235	ENSMUSG00000037761
mm_zf_gene_198	ENSDARG00000021370	ENSMUSG00000019948
mm_zf_gene_199	ENSDARG00000103610	ENSMUSG00000015971
mm_zf_gene_200	ENSDARG00000018968	ENSMUSG00000000532
mm_zf_gene_201	ENSDARG00000014986	ENSMUSG00000000530
mm_zf_gene_202	ENSDARG00000011188	ENSMUSG00000052155
mm_zf_gene_203	ENSDARG00000104700	ENSMUSG00000052155
mm_zf_gene_204	ENSDARG00000018179	ENSMUSG00000000530
mm_zf_gene_205	ENSDARG00000093003	ENSMUSG00000024866
mm_zf_gene_206	ENSDARG00000005525	ENSMUSG00000024866
mm_zf_gene_207	ENSDARG00000003113	ENSMUSG00000017697
mm_zf_gene_208	ENSDARG00000089181	ENSMUSG00000027719
mm_zf_gene_209	ENSDARG00000105626	ENSMUSG00000024266
mm_zf_gene_210	ENSDARG00000012986	ENSMUSG00000027259
mm_zf_gene_211	ENSDARG00000079204	ENSMUSG00000020926
mm_zf_gene_212	ENSDARG00000079068	ENSMUSG00000054555
mm_zf_gene_213	ENSDARG00000089213	ENSMUSG00000028041
mm_zf_gene_214	ENSDARG00000043213	ENSMUSG00000052593
mm_zf_gene_215	ENSDARG00000093093	ENSMUSG00000052593
mm_zf_gene_216	ENSDARG00000059693	ENSMUSG00000027318
mm_zf_gene_217	ENSDARG00000059693	ENSMUSG00000011256
mm_zf_gene_218	ENSDARG00000060532	ENSMUSG00000040537
mm_zf_gene_219	ENSDARG00000062323	ENSMUSG00000025964
mm_zf_gene_220	ENSDARG00000035514	ENSMUSG00000014725
mm_zf_gene_221	ENSDARG00000001452	ENSMUSG00000025473
mm_zf_gene_222	ENSDARG00000057644	ENSMUSG00000025473
mm_zf_gene_223	ENSDARG00000010070	ENSMUSG00000031555
mm_zf_gene_224	ENSDARG00000103519	ENSMUSG00000022893
mm_zf_gene_225	ENSDARG00000075188	ENSMUSG00000024299
mm_zf_gene_226	ENSDARG00000067549	ENSMUSG00000047497
mm_zf_gene_227	ENSDARG00000076270	ENSMUSG00000014852
mm_zf_gene_228	ENSDARG00000029124	ENSMUSG00000033453
mm_zf_gene_229	ENSDARG00000074646	ENSMUSG00000049538
mm_zf_gene_230	ENSDARG00000001999	ENSMUSG00000053399
mm_zf_gene_231	ENSDARG00000075930	ENSMUSG00000036545
mm_zf_gene_232	ENSDARG00000060127	ENSMUSG00000043635
mm_zf_gene_233	ENSDARG00000100307	ENSMUSG00000022894
mm_zf_gene_234	ENSDARG00000041982	ENSMUSG00000046169
mm_zf_gene_235	ENSDARG00000007709	ENSMUSG00000031994
mm_zf_gene_236	ENSDARG00000077778	ENSMUSG00000030022
mm_zf_gene_237	ENSDARG00000074033	ENSMUSG00000036040
mm_zf_gene_238	ENSDARG00000027903	ENSMUSG00000070469
mm_zf_gene_239	ENSDARG00000052118	ENSMUSG00000043822
mm_zf_gene_240	ENSDARG00000070565	ENSMUSG00000020709
mm_zf_gene_241	ENSDARG00000012389	ENSMUSG00000027951
mm_zf_gene_242	ENSDARG00000041609	ENSMUSG00000020262
mm_zf_gene_243	ENSDARG00000071823	ENSMUSG00000052551
mm_zf_gene_244	ENSDARG00000061348	ENSMUSG00000031949
mm_zf_gene_245	ENSDARG00000041944	ENSMUSG00000019808
mm_zf_gene_246	ENSDARG00000005640	ENSMUSG00000113640
mm_zf_gene_247	ENSDARG00000005640	ENSMUSG00000035370
mm_zf_gene_248	ENSDARG00000062561	ENSMUSG00000021044
mm_zf_gene_249	ENSDARG00000075405	ENSMUSG00000022550
mm_zf_gene_250	ENSDARG00000069026	ENSMUSG00000020431
mm_zf_gene_251	ENSDARG00000088634	ENSMUSG00000020431
mm_zf_gene_252	ENSDARG00000058392	ENSMUSG00000021536
mm_zf_gene_253	ENSDARG00000014588	ENSMUSG00000021536
mm_zf_gene_254	ENSDARG00000017437	ENSMUSG00000020654
mm_zf_gene_255	ENSDARG00000091342	ENSMUSG00000022840
mm_zf_gene_256	ENSDARG00000061445	ENSMUSG00000022994
mm_zf_gene_257	ENSDARG00000027797	ENSMUSG00000022994
mm_zf_gene_258	ENSDARG00000060070	ENSMUSG00000031659
mm_zf_gene_259	ENSDARG00000031783	ENSMUSG00000022376
mm_zf_gene_260	ENSDARG00000100869	ENSMUSG00000005580
mm_zf_gene_261	ENSDARG00000004015	ENSMUSG00000024256
mm_zf_gene_262	ENSDARG00000027740	ENSMUSG00000024256
mm_zf_gene_263	ENSDARG00000103962	ENSMUSG00000029106
mm_zf_gene_264	ENSDARG00000074581	ENSMUSG00000030000
mm_zf_gene_265	ENSDARG00000040874	ENSMUSG00000025026
mm_zf_gene_266	ENSDARG00000056250	ENSMUSG00000025026
mm_zf_gene_267	ENSDARG00000005595	ENSMUSG00000050994
mm_zf_gene_268	ENSDARG00000013653	ENSMUSG00000039167
mm_zf_gene_269	ENSDARG00000021137	ENSMUSG00000069170
mm_zf_gene_270	ENSDARG00000053518	ENSMUSG00000025911
mm_zf_gene_271	ENSDARG00000020448	ENSMUSG00000020629
mm_zf_gene_272	ENSDARG00000062228	ENSMUSG00000022878
mm_zf_gene_273	ENSDARG00000100086	ENSMUSG00000022878
mm_zf_gene_274	ENSDARG00000002912	ENSMUSG00000026457
mm_zf_gene_275	ENSDARG00000042717	ENSMUSG00000026457
mm_zf_gene_276	ENSDARG00000101849	ENSMUSG00000030168
mm_zf_gene_277	ENSDARG00000039429	ENSMUSG00000039197
mm_zf_gene_278	ENSDARG00000095947	ENSMUSG00000039197
mm_zf_gene_279	ENSDARG00000045708	ENSMUSG00000054136
mm_zf_gene_280	ENSDARG00000078875	ENSMUSG00000054136
mm_zf_gene_281	ENSDARG00000015263	ENSMUSG00000030790
mm_zf_gene_282	ENSDARG00000060937	ENSMUSG00000053950
mm_zf_gene_283	ENSDARG00000028431	ENSMUSG00000053950
mm_zf_gene_284	ENSDARG00000062002	ENSMUSG00000051149
mm_zf_gene_285	ENSDARG00000042827	ENSMUSG00000057134
mm_zf_gene_286	ENSDARG00000053571	ENSMUSG00000057134
mm_zf_gene_287	ENSDARG00000033706	ENSMUSG00000020178
mm_zf_gene_288	ENSDARG00000002533	ENSMUSG00000018500
mm_zf_gene_289	ENSDARG00000063525	ENSMUSG00000025236
mm_zf_gene_290	ENSDARG00000040712	ENSMUSG00000002844
mm_zf_gene_291	ENSDARG00000041589	ENSMUSG00000031448
mm_zf_gene_292	ENSDARG00000019338	ENSMUSG00000042558
mm_zf_gene_293	ENSDARG00000026090	ENSMUSG00000020910
mm_zf_gene_294	ENSDARG00000041173	ENSMUSG00000050541
mm_zf_gene_295	ENSDARG00000024101	ENSMUSG00000027335
mm_zf_gene_296	ENSDARG00000040841	ENSMUSG00000033717
mm_zf_gene_297	ENSDARG00000102096	ENSMUSG00000058620
mm_zf_gene_298	ENSDARG00000069669	ENSMUSG00000045318
mm_zf_gene_299	ENSDARG00000091277	ENSMUSG00000047225
mm_zf_gene_300	ENSDARG00000091277	ENSMUSG00000059768
mm_zf_gene_301	ENSDARG00000091277	ENSMUSG00000041885
mm_zf_gene_302	ENSDARG00000091277	ENSMUSG00000096029
mm_zf_gene_303	ENSDARG00000091277	ENSMUSG00000095248
mm_zf_gene_304	ENSDARG00000091277	ENSMUSG00000044120
mm_zf_gene_305	ENSDARG00000091277	ENSMUSG00000089717
mm_zf_gene_306	ENSDARG00000054667	ENSMUSG00000047225
mm_zf_gene_307	ENSDARG00000054667	ENSMUSG00000059768
mm_zf_gene_308	ENSDARG00000054667	ENSMUSG00000041885
mm_zf_gene_309	ENSDARG00000054667	ENSMUSG00000096029
mm_zf_gene_310	ENSDARG00000054667	ENSMUSG00000095248
mm_zf_gene_311	ENSDARG00000054667	ENSMUSG00000044120
mm_zf_gene_312	ENSDARG00000054667	ENSMUSG00000089717
mm_zf_gene_313	ENSDARG00000007490	ENSMUSG00000035283
mm_zf_gene_314	ENSDARG00000088124	ENSMUSG00000045730
mm_zf_gene_315	ENSDARG00000054510	ENSMUSG00000045730
mm_zf_gene_316	ENSDARG00000053646	ENSMUSG00000031489
mm_zf_gene_317	ENSDARG00000052919	ENSMUSG00000031489
mm_zf_gene_318	ENSDARG00000058560	ENSMUSG00000042165
mm_zf_gene_319	ENSDARG00000058560	ENSMUSG00000039041
mm_zf_gene_320	ENSDARG00000017049	ENSMUSG00000022407
mm_zf_gene_321	ENSDARG00000002071	ENSMUSG00000015961
mm_zf_gene_322	ENSDARG00000099517	ENSMUSG00000011148
mm_zf_gene_323	ENSDARG00000091726	ENSMUSG00000020473
mm_zf_gene_324	ENSDARG00000006038	ENSMUSG00000030232
mm_zf_gene_325	ENSDARG00000055284	ENSMUSG00000029094
mm_zf_gene_326	ENSDARG00000089162	ENSMUSG00000033032
mm_zf_gene_327	ENSDARG00000056453	ENSMUSG00000033032
mm_zf_gene_328	ENSDARG00000074806	ENSMUSG00000025083
mm_zf_gene_329	ENSDARG00000052242	ENSMUSG00000031189
mm_zf_gene_330	ENSDARG00000079575	ENSMUSG00000037138
mm_zf_gene_331	ENSDARG00000001857	ENSMUSG00000049470
mm_zf_gene_332	ENSDARG00000062272	ENSMUSG00000024527
mm_zf_gene_333	ENSDARG00000099106	ENSMUSG00000017718
mm_zf_gene_334	ENSDARG00000069249	ENSMUSG00000037594
mm_zf_gene_335	ENSDARG00000071347	ENSMUSG00000037594
mm_zf_gene_336	ENSDARG00000004889	ENSMUSG00000031521
mm_zf_gene_337	ENSDARG00000062123	ENSMUSG00000055013
mm_zf_gene_338	ENSDARG00000099874	ENSMUSG00000025422
mm_zf_gene_339	ENSDARG00000104384	ENSMUSG00000025754
mm_zf_gene_340	ENSDARG00000079983	ENSMUSG00000040812
mm_zf_gene_341	ENSDARG00000045900	ENSMUSG00000029165
mm_zf_gene_342	ENSDARG00000030020	ENSMUSG00000026159
mm_zf_gene_343	ENSDARG00000019526	ENSMUSG00000026159
mm_zf_gene_344	ENSDARG00000060109	ENSMUSG00000021681
mm_zf_gene_345	ENSDARG00000009837	ENSMUSG00000029916
mm_zf_gene_346	ENSDARG00000103811	ENSMUSG00000033400
mm_zf_gene_347	ENSDARG00000100352	ENSMUSG00000033400
mm_zf_gene_348	ENSDARG00000059700	ENSMUSG00000040706
mm_zf_gene_349	ENSDARG00000025595	ENSMUSG00000050103
mm_zf_gene_350	ENSDARG00000092644	ENSMUSG00000041530
mm_zf_gene_351	ENSDARG00000061268	ENSMUSG00000036698
mm_zf_gene_352	ENSDARG00000063079	ENSMUSG00000028842
mm_zf_gene_353	ENSDARG00000100854	ENSMUSG00000042500
mm_zf_gene_354	ENSDARG00000101139	ENSMUSG00000026922
mm_zf_gene_355	ENSDARG00000036549	ENSMUSG00000001211
mm_zf_gene_356	ENSDARG00000069044	ENSMUSG00000023827
mm_zf_gene_357	ENSDARG00000063187	ENSMUSG00000031467
mm_zf_gene_358	ENSDARG00000006491	ENSMUSG00000029314
mm_zf_gene_359	ENSDARG00000042821	ENSMUSG00000042410
mm_zf_gene_360	ENSDARG00000070480	ENSMUSG00000020581
mm_zf_gene_361	ENSDARG00000079388	ENSMUSG00000041936
mm_zf_gene_362	ENSDARG00000069089	ENSMUSG00000005705
mm_zf_gene_363	ENSDARG00000016412	ENSMUSG00000031980
mm_zf_gene_364	ENSDARG00000105214	ENSMUSG00000021557
mm_zf_gene_365	ENSDARG00000018616	ENSMUSG00000049115
mm_zf_gene_366	ENSDARG00000018616	ENSMUSG00000054988
mm_zf_gene_367	ENSDARG00000045443	ENSMUSG00000049115
mm_zf_gene_368	ENSDARG00000045443	ENSMUSG00000054988
mm_zf_gene_369	ENSDARG00000035552	ENSMUSG00000068122
mm_zf_gene_370	ENSDARG00000077082	ENSMUSG00000029007
mm_zf_gene_371	ENSDARG00000100709	ENSMUSG00000089678
mm_zf_gene_372	ENSDARG00000052099	ENSMUSG00000026272
mm_zf_gene_373	ENSDARG00000018478	ENSMUSG00000026272
mm_zf_gene_374	ENSDARG00000077530	ENSMUSG00000026491
mm_zf_gene_375	ENSDARG00000005191	ENSMUSG00000048087
mm_zf_gene_376	ENSDARG00000005191	ENSMUSG00000027597
mm_zf_gene_377	ENSDARG00000056331	ENSMUSG00000027893
mm_zf_gene_378	ENSDARG00000039343	ENSMUSG00000029772
mm_zf_gene_379	ENSDARG00000093453	ENSMUSG00000037692
mm_zf_gene_380	ENSDARG00000044056	ENSMUSG00000019986
mm_zf_gene_381	ENSDARG00000020046	ENSMUSG00000019256
mm_zf_gene_382	ENSDARG00000052618	ENSMUSG00000021575
mm_zf_gene_383	ENSDARG00000028664	ENSMUSG00000021037
mm_zf_gene_384	ENSDARG00000100317	ENSMUSG00000021037
mm_zf_gene_385	ENSDARG00000015734	ENSMUSG00000040627
mm_zf_gene_386	ENSDARG00000014532	ENSMUSG00000042901
mm_zf_gene_387	ENSDARG00000009336	ENSMUSG00000001864
mm_zf_gene_388	ENSDARG00000058088	ENSMUSG00000036932
mm_zf_gene_389	ENSDARG00000077549	ENSMUSG00000020085
mm_zf_gene_390	ENSDARG00000062780	ENSMUSG00000022763
mm_zf_gene_391	ENSDARG00000007171	ENSMUSG00000019806
mm_zf_gene_392	ENSDARG00000018903	ENSMUSG00000029610
mm_zf_gene_393	ENSDARG00000104437	ENSMUSG00000024847
mm_zf_gene_394	ENSDARG00000056784	ENSMUSG00000000731
mm_zf_gene_395	ENSDARG00000038655	ENSMUSG00000039546
mm_zf_gene_396	ENSDARG00000077842	ENSMUSG00000022178
mm_zf_gene_397	ENSDARG00000001950	ENSMUSG00000026817
mm_zf_gene_398	ENSDARG00000005926	ENSMUSG00000028792
mm_zf_gene_399	ENSDARG00000058226	ENSMUSG00000024782
mm_zf_gene_400	ENSDARG00000006546	ENSMUSG00000028527
mm_zf_gene_401	ENSDARG00000012555	ENSMUSG00000039058
mm_zf_gene_402	ENSDARG00000019001	ENSMUSG00000041323
mm_zf_gene_403	ENSDARG00000017023	ENSMUSG00000041323
mm_zf_gene_404	ENSDARG00000059549	ENSMUSG00000047804
mm_zf_gene_405	ENSDARG00000075435	ENSMUSG00000022016
mm_zf_gene_406	ENSDARG00000091792	ENSMUSG00000038587
mm_zf_gene_407	ENSDARG00000055678	ENSMUSG00000038587
mm_zf_gene_408	ENSDARG00000006062	ENSMUSG00000018428
mm_zf_gene_409	ENSDARG00000077295	ENSMUSG00000061603
mm_zf_gene_410	ENSDARG00000099635	ENSMUSG00000002625
