mm_zf_xp_gene	mm_gene	zf_gene	xp_gene
mm_zf_xp_54	ENSMUSG00000015745	ENSDARG00000077499	plekho1-like
mm_zf_xp_55	ENSMUSG00000015745	ENSDARG00000061191	plekho1-like
mm_zf_xp_56	ENSMUSG00000015749	ENSDARG00000054804	anp32e
mm_zf_xp_57	ENSMUSG00000038526	ENSDARG00000061697	ca14
mm_zf_xp_58	ENSMUSG00000038526	ENSDARG00000061697	LOC100495123
mm_zf_xp_59	ENSMUSG00000015750	NA	aph1a
mm_zf_xp_60	ENSMUSG00000038550	ENSDARG00000058094	NA
mm_zf_xp_61	ENSMUSG00000054312	NA	mrps21
mm_zf_xp_62	ENSMUSG00000015748	ENSDARG00000086425	prpf3
mm_zf_xp_63	ENSMUSG00000028106	ENSDARG00000058089	rprd2-like
mm_zf_xp_64	ENSMUSG00000028106	ENSDARG00000074676	rprd2-like
mm_zf_xp_65	ENSMUSG00000028108	ENSDARG00000105239	ecm1
mm_zf_xp_66	ENSMUSG00000028108	ENSDARG00000100535	ecm1
mm_zf_xp_67	ENSMUSG00000015850	ENSDARG00000063407	adamtsl4
mm_zf_xp_68	ENSMUSG00000038612	ENSDARG00000008363	mcl1
mm_zf_xp_69	ENSMUSG00000038612	ENSDARG00000009779	mcl1
mm_zf_xp_70	ENSMUSG00000038619	ENSDARG00000036944	ensa
mm_zf_xp_71	ENSMUSG00000046519	ENSDARG00000036943	golph3l
mm_zf_xp_72	ENSMUSG00000028109	ENSDARG00000040254	hormad1
mm_zf_xp_73	ENSMUSG00000038642	ENSDARG00000074656	ctss
mm_zf_xp_74	ENSMUSG00000038642	ENSDARG00000074656	Xetrov90022130m
mm_zf_xp_75	ENSMUSG00000038642	ENSDARG00000074656	ctsh
mm_zf_xp_76	ENSMUSG00000038642	ENSDARG00000013771	ctss
mm_zf_xp_77	ENSMUSG00000038642	ENSDARG00000013771	Xetrov90022130m
mm_zf_xp_78	ENSMUSG00000038642	ENSDARG00000013771	ctsh
mm_zf_xp_79	ENSMUSG00000028111	ENSDARG00000040251	Xetrov90022143m
mm_zf_xp_80	ENSMUSG00000015522	ENSDARG00000021855	arnt
mm_zf_xp_81	ENSMUSG00000015697	ENSDARG00000099021	setdb1
mm_zf_xp_82	ENSMUSG00000015697	ENSDARG00000041243	setdb1
mm_zf_xp_83	ENSMUSG00000015714	ENSDARG00000013704	cers2
mm_zf_xp_84	ENSMUSG00000015714	ENSDARG00000013704	cers3
mm_zf_xp_85	ENSMUSG00000015714	ENSDARG00000058992	cers2
mm_zf_xp_86	ENSMUSG00000015714	ENSDARG00000058992	cers3
mm_zf_xp_87	ENSMUSG00000015702	ENSDARG00000100104	NA
mm_zf_xp_88	ENSMUSG00000015702	ENSDARG00000013976	NA
mm_zf_xp_89	ENSMUSG00000015702	ENSDARG00000013613	NA
mm_zf_xp_90	ENSMUSG00000015711	ENSDARG00000076246	prune
mm_zf_xp_91	ENSMUSG00000028115	ENSDARG00000060435	bnipl
mm_zf_xp_92	ENSMUSG00000046722	ENSDARG00000023724	cdc42se1
mm_zf_xp_93	ENSMUSG00000053192	ENSDARG00000071026	mllt11
mm_zf_xp_94	ENSMUSG00000038766	ENSDARG00000054344	gabpb2
mm_zf_xp_95	ENSMUSG00000038777	ENSDARG00000002748	NA
mm_zf_xp_96	ENSMUSG00000038777	ENSDARG00000000189	NA
mm_zf_xp_97	ENSMUSG00000013707	ENSDARG00000046148	tnfaip8l2
mm_zf_xp_98	ENSMUSG00000013707	ENSDARG00000075592	tnfaip8l2
mm_zf_xp_99	ENSMUSG00000092607	ENSDARG00000003027	scnm1
mm_zf_xp_100	ENSMUSG00000053769	ENSDARG00000054789	lysmd1
mm_zf_xp_101	ENSMUSG00000005628	ENSDARG00000020890	tmod4
mm_zf_xp_102	ENSMUSG00000008958	NA	vps72
mm_zf_xp_103	ENSMUSG00000028126	ENSDARG00000024642	pip5k1a
mm_zf_xp_104	ENSMUSG00000005625	ENSDARG00000023279	NA
mm_zf_xp_105	ENSMUSG00000005625	ENSDARG00000101295	NA
mm_zf_xp_106	ENSMUSG00000019338	ENSDARG00000019299	znf687
mm_zf_xp_107	ENSMUSG00000019338	ENSDARG00000102774	znf687
mm_zf_xp_108	ENSMUSG00000038861	ENSDARG00000040111	pi4kb
mm_zf_xp_109	ENSMUSG00000005774	ENSDARG00000063258	NA
mm_zf_xp_110	ENSMUSG00000068874	ENSDARG00000024717	selenbp1
mm_zf_xp_111	ENSMUSG00000068877	ENSDARG00000024717	selenbp1
mm_zf_xp_112	ENSMUSG00000005779	ENSDARG00000054696	Xetrov90027692m
mm_zf_xp_113	ENSMUSG00000068876	ENSDARG00000055607	cgn
mm_zf_xp_114	ENSMUSG00000068876	ENSDARG00000058690	cgn
mm_zf_xp_115	ENSMUSG00000005968	ENSDARG00000061242	NA
mm_zf_xp_116	ENSMUSG00000028136	ENSDARG00000016977	snx27
mm_zf_xp_117	ENSMUSG00000028136	ENSDARG00000033804	snx27
mm_zf_xp_118	ENSMUSG00000028137	ENSDARG00000006983	NA
mm_zf_xp_119	ENSMUSG00000028137	ENSDARG00000034668	NA
mm_zf_xp_120	ENSMUSG00000028140	ENSDARG00000063249	NA
mm_zf_xp_121	ENSMUSG00000028141	ENSDARG00000104782	NA
mm_zf_xp_122	ENSMUSG00000044505	ENSDARG00000061970	NA
mm_zf_xp_123	ENSMUSG00000044505	ENSDARG00000073747	NA
mm_zf_xp_124	ENSMUSG00000044505	ENSDARG00000069270	NA
mm_zf_xp_125	ENSMUSG00000044505	ENSDARG00000045811	NA
mm_zf_xp_126	ENSMUSG00000028150	NA	Xetrov90029275m
mm_zf_xp_127	ENSMUSG00000028145	ENSDARG00000061621	them4-like
mm_zf_xp_128	ENSMUSG00000041959	ENSDARG00000055589	NA
mm_zf_xp_129	ENSMUSG00000027907	ENSDARG00000093628	s100a11
mm_zf_xp_130	ENSMUSG00000041984	NA	Xetrov90019684m
mm_zf_xp_131	ENSMUSG00000041984	NA	Xetrov90013059m
mm_zf_xp_132	ENSMUSG00000041984	NA	Xetrov90024376m
mm_zf_xp_133	ENSMUSG00000041984	NA	Xetrov90026791m
mm_zf_xp_134	ENSMUSG00000041991	NA	LOC101734575
mm_zf_xp_135	ENSMUSG00000078657	ENSDARG00000055589	NA
mm_zf_xp_136	ENSMUSG00000078657	ENSDARG00000036773	NA
mm_zf_xp_137	ENSMUSG00000078657	ENSDARG00000037425	NA
mm_zf_xp_138	ENSMUSG00000059832	ENSDARG00000054023	NA
mm_zf_xp_139	ENSMUSG00000045539	NA	Xetrov90030574m
mm_zf_xp_140	ENSMUSG00000045539	NA	Xetrov90029025m
mm_zf_xp_141	ENSMUSG00000045539	NA	Xetrov90015206m
mm_zf_xp_142	ENSMUSG00000045539	NA	Xetrov90026591m
mm_zf_xp_143	ENSMUSG00000045539	NA	Xetrov90028231m
mm_zf_xp_144	ENSMUSG00000045539	NA	Xetrov90000263m
mm_zf_xp_145	ENSMUSG00000045539	NA	Xetrov90026711m
mm_zf_xp_146	ENSMUSG00000045539	NA	Xetrov90017083m
mm_zf_xp_147	ENSMUSG00000042250	NA	pglyrp1
mm_zf_xp_148	ENSMUSG00000056054	ENSDARG00000055589	NA
mm_zf_xp_149	ENSMUSG00000056054	ENSDARG00000036773	NA
mm_zf_xp_150	ENSMUSG00000056054	ENSDARG00000037425	NA
mm_zf_xp_151	ENSMUSG00000001023	ENSDARG00000055589	LOC100494786
mm_zf_xp_152	ENSMUSG00000001023	ENSDARG00000036773	LOC100494786
mm_zf_xp_153	ENSMUSG00000001023	ENSDARG00000037425	LOC100494786
mm_zf_xp_154	ENSMUSG00000001020	ENSDARG00000055589	NA
mm_zf_xp_155	ENSMUSG00000001020	ENSDARG00000036773	NA
mm_zf_xp_156	ENSMUSG00000001020	ENSDARG00000037425	NA
mm_zf_xp_157	ENSMUSG00000105518	ENSDARG00000055589	Xetrov90029381m
mm_zf_xp_158	ENSMUSG00000105518	ENSDARG00000036773	Xetrov90029381m
mm_zf_xp_159	ENSMUSG00000105518	ENSDARG00000037425	Xetrov90029381m
mm_zf_xp_160	ENSMUSG00000001021	ENSDARG00000055589	Xetrov90029381m
mm_zf_xp_161	ENSMUSG00000001021	ENSDARG00000036773	Xetrov90029381m
mm_zf_xp_162	ENSMUSG00000001021	ENSDARG00000037425	Xetrov90029381m
mm_zf_xp_163	ENSMUSG00000094018	ENSDARG00000055589	NA
mm_zf_xp_164	ENSMUSG00000094018	ENSDARG00000036773	NA
mm_zf_xp_165	ENSMUSG00000094018	ENSDARG00000037425	NA
mm_zf_xp_166	ENSMUSG00000074457	ENSDARG00000055514	NA
mm_zf_xp_167	ENSMUSG00000074457	ENSDARG00000009978	NA
mm_zf_xp_168	ENSMUSG00000042306	ENSDARG00000055589	NA
mm_zf_xp_169	ENSMUSG00000042306	ENSDARG00000036773	NA
mm_zf_xp_170	ENSMUSG00000042306	ENSDARG00000037425	NA
mm_zf_xp_171	ENSMUSG00000042312	ENSDARG00000070427	NA
mm_zf_xp_172	ENSMUSG00000042312	ENSDARG00000070702	NA
mm_zf_xp_173	ENSMUSG00000044080	ENSDARG00000015543	LOC101734724
mm_zf_xp_174	ENSMUSG00000001017	ENSDARG00000057234	NA
mm_zf_xp_175	ENSMUSG00000001017	ENSDARG00000070430	NA
mm_zf_xp_176	ENSMUSG00000001018	ENSDARG00000062382	NA
mm_zf_xp_177	ENSMUSG00000001016	ENSDARG00000014591	NA
mm_zf_xp_178	ENSMUSG00000027931	ENSDARG00000104393	LOC100496629
mm_zf_xp_179	ENSMUSG00000027931	ENSDARG00000104393	LOC101732477
mm_zf_xp_180	ENSMUSG00000027933	ENSDARG00000016811	ints3
mm_zf_xp_181	ENSMUSG00000027932	ENSDARG00000046054	NA
mm_zf_xp_182	ENSMUSG00000042390	ENSDARG00000005834	gatad2b
mm_zf_xp_183	ENSMUSG00000042404	ENSDARG00000102914	dennd4b
mm_zf_xp_184	ENSMUSG00000027936	NA	Xetrov90027949m
mm_zf_xp_185	ENSMUSG00000027937	ENSDARG00000070150	NA
mm_zf_xp_186	ENSMUSG00000027938	NA	creb3l4
mm_zf_xp_187	ENSMUSG00000027937	ENSDARG00000070150	NA
mm_zf_xp_188	ENSMUSG00000027935	ENSDARG00000034771	NA
mm_zf_xp_189	ENSMUSG00000027935	ENSDARG00000034771	MGC97787
mm_zf_xp_190	ENSMUSG00000050621	ENSDARG00000023298	rps27
mm_zf_xp_191	ENSMUSG00000027942	ENSDARG00000055613	NA
mm_zf_xp_192	ENSMUSG00000042520	ENSDARG00000063219	ubap2l-like
mm_zf_xp_193	ENSMUSG00000042520	ENSDARG00000063219	LOC101731716-like
mm_zf_xp_194	ENSMUSG00000027944	ENSDARG00000036764	NA
mm_zf_xp_195	ENSMUSG00000027947	NA	il6r
mm_zf_xp_196	ENSMUSG00000046280	ENSDARG00000087956	she-like
mm_zf_xp_197	ENSMUSG00000027950	NA	chrnb2
mm_zf_xp_198	ENSMUSG00000027951	ENSDARG00000012389	NA
mm_zf_xp_199	ENSMUSG00000000794	NA	kcnn3
mm_zf_xp_200	ENSMUSG00000000794	NA	LOC101730557
mm_zf_xp_201	ENSMUSG00000027952	ENSDARG00000070798	NA
mm_zf_xp_202	ENSMUSG00000042613	NA	LOC100497042
mm_zf_xp_203	ENSMUSG00000047824	ENSDARG00000036772	NA
mm_zf_xp_204	ENSMUSG00000042626	ENSDARG00000075437	LOC100492349-like
mm_zf_xp_205	ENSMUSG00000028044	ENSDARG00000007971	Xetrov90029361m
mm_zf_xp_206	ENSMUSG00000042642	ENSDARG00000070390	NA
mm_zf_xp_207	ENSMUSG00000078173	ENSDARG00000095553	NA
mm_zf_xp_208	ENSMUSG00000028042	ENSDARG00000021891	zbtb7b
mm_zf_xp_209	ENSMUSG00000109293	ENSDARG00000088693	Xetrov90007582m
mm_zf_xp_210	ENSMUSG00000109293	ENSDARG00000088693	Xetrov90007583m
mm_zf_xp_211	ENSMUSG00000109293	ENSDARG00000088693	LOC100495347
mm_zf_xp_212	ENSMUSG00000109293	ENSDARG00000088693	Xetrov90001000m
mm_zf_xp_213	ENSMUSG00000109293	ENSDARG00000088693	LOC100497585
mm_zf_xp_214	ENSMUSG00000109293	ENSDARG00000088693	LOC101734522
mm_zf_xp_215	ENSMUSG00000042672	ENSDARG00000056077	LOC101734054
mm_zf_xp_216	ENSMUSG00000042672	ENSDARG00000056077	Xetrov90015926m
mm_zf_xp_217	ENSMUSG00000042672	ENSDARG00000056077	LOC101732050
mm_zf_xp_218	ENSMUSG00000028041	ENSDARG00000089213	NA
mm_zf_xp_219	ENSMUSG00000028039	ENSDARG00000098295	NA
mm_zf_xp_220	ENSMUSG00000027954	ENSDARG00000030326	NA
mm_zf_xp_221	ENSMUSG00000027954	ENSDARG00000018787	NA
mm_zf_xp_222	ENSMUSG00000027953	ENSDARG00000015158	slc50a1
mm_zf_xp_223	ENSMUSG00000042737	ENSDARG00000058650	NA
mm_zf_xp_224	ENSMUSG00000042747	ENSDARG00000070386	NA
mm_zf_xp_225	ENSMUSG00000042766	ENSDARG00000012367	NA
mm_zf_xp_226	ENSMUSG00000042766	ENSDARG00000058649	NA
mm_zf_xp_227	ENSMUSG00000042784	NA	Xetrov90000633m
mm_zf_xp_228	ENSMUSG00000042784	NA	Xetrov90026877m
mm_zf_xp_229	ENSMUSG00000042784	NA	Xetrov90005725m
mm_zf_xp_230	ENSMUSG00000042784	NA	Xetrov90000631m
mm_zf_xp_231	ENSMUSG00000042784	NA	Xetrov90026876m
mm_zf_xp_232	ENSMUSG00000042784	NA	Xetrov90026878m
mm_zf_xp_233	ENSMUSG00000042784	NA	Xetrov90030390m
mm_zf_xp_234	ENSMUSG00000028047	ENSDARG00000012060	Xetrov90026956m
mm_zf_xp_235	ENSMUSG00000064068	ENSDARG00000025500	NA
mm_zf_xp_236	ENSMUSG00000064068	ENSDARG00000036109	NA
mm_zf_xp_237	ENSMUSG00000028048	ENSDARG00000076058	NA
mm_zf_xp_238	ENSMUSG00000032657	ENSDARG00000079008	fam189b
mm_zf_xp_239	ENSMUSG00000028049	ENSDARG00000016765	Xetrov90022499m
mm_zf_xp_240	ENSMUSG00000068917	ENSDARG00000062954	clk2-like.2
mm_zf_xp_241	ENSMUSG00000068917	ENSDARG00000062954	clk2-like.1
mm_zf_xp_242	ENSMUSG00000068917	ENSDARG00000059870	clk2-like.2
mm_zf_xp_243	ENSMUSG00000068917	ENSDARG00000059870	clk2-like.1
mm_zf_xp_244	ENSMUSG00000041237	ENSDARG00000042010	NA
mm_zf_xp_245	ENSMUSG00000059743	ENSDARG00000040890	fdps
mm_zf_xp_246	ENSMUSG00000041263	ENSDARG00000078125	NA
mm_zf_xp_247	ENSMUSG00000041263	ENSDARG00000095288	NA
mm_zf_xp_248	ENSMUSG00000028053	ENSDARG00000070981	Xetrov90030149m
mm_zf_xp_249	ENSMUSG00000028053	ENSDARG00000070981	Xetrov90026055m
mm_zf_xp_250	ENSMUSG00000028053	ENSDARG00000070981	ash1l
mm_zf_xp_251	ENSMUSG00000068922	ENSDARG00000024381	Xetrov90029733m
mm_zf_xp_252	ENSMUSG00000068921	ENSDARG00000078500	dap3
mm_zf_xp_253	ENSMUSG00000054199	NA	gon4l
mm_zf_xp_254	ENSMUSG00000068923	ENSDARG00000056105	LOC101734468
mm_zf_xp_255	ENSMUSG00000068923	ENSDARG00000056105	LOC101731321
mm_zf_xp_256	ENSMUSG00000068923	ENSDARG00000057913	LOC101734468
mm_zf_xp_257	ENSMUSG00000068923	ENSDARG00000057913	LOC101731321
mm_zf_xp_258	ENSMUSG00000028057	ENSDARG00000069150	LOC100486360
mm_zf_xp_259	ENSMUSG00000049741	NA	LOC100486614
mm_zf_xp_260	ENSMUSG00000028059	ENSDARG00000075819	NA
mm_zf_xp_261	ENSMUSG00000028059	ENSDARG00000040380	NA
mm_zf_xp_262	ENSMUSG00000041355	ENSDARG00000005230	ssr2
mm_zf_xp_263	ENSMUSG00000008604	ENSDARG00000052975	NA
mm_zf_xp_264	ENSMUSG00000028062	ENSDARG00000039872	NA
mm_zf_xp_265	ENSMUSG00000008601	ENSDARG00000058800	NA
mm_zf_xp_266	ENSMUSG00000008601	ENSDARG00000052954	NA
mm_zf_xp_267	ENSMUSG00000074480	ENSDARG00000076638	NA
mm_zf_xp_268	ENSMUSG00000028063	ENSDARG00000013415	NA
mm_zf_xp_269	ENSMUSG00000028064	NA	sema4a
mm_zf_xp_270	ENSMUSG00000050144	ENSDARG00000035905	slc25a44
mm_zf_xp_271	ENSMUSG00000050144	ENSDARG00000045927	slc25a44
mm_zf_xp_272	ENSMUSG00000028066	ENSDARG00000077822	NA
mm_zf_xp_273	ENSMUSG00000074483	ENSDARG00000058414	bglap
mm_zf_xp_274	ENSMUSG00000074483	ENSDARG00000058414	bglap2
mm_zf_xp_275	ENSMUSG00000074486	ENSDARG00000058414	bglap
mm_zf_xp_276	ENSMUSG00000074486	ENSDARG00000058414	bglap2
mm_zf_xp_277	ENSMUSG00000074489	ENSDARG00000058414	bglap
mm_zf_xp_278	ENSMUSG00000074489	ENSDARG00000058414	bglap2
mm_zf_xp_279	ENSMUSG00000041423	ENSDARG00000041483	NA
mm_zf_xp_280	ENSMUSG00000001415	ENSDARG00000041481	NA
mm_zf_xp_281	ENSMUSG00000001420	ENSDARG00000071250	Xetrov90029418m
mm_zf_xp_282	ENSMUSG00000001420	ENSDARG00000076861	Xetrov90029418m
mm_zf_xp_283	ENSMUSG00000001418	ENSDARG00000059354	NA
mm_zf_xp_284	ENSMUSG00000033933	ENSDARG00000070617	NA
mm_zf_xp_285	ENSMUSG00000001416	ENSDARG00000016173	cct3
mm_zf_xp_286	ENSMUSG00000104445	ENSDARG00000009018	rhag
mm_zf_xp_287	ENSMUSG00000104445	ENSDARG00000009018	rhbg
mm_zf_xp_288	ENSMUSG00000103766	ENSDARG00000009018	rhag
mm_zf_xp_289	ENSMUSG00000103766	ENSDARG00000009018	rhbg
mm_zf_xp_290	ENSMUSG00000001419	ENSDARG00000040237	Xetrov90022298m
mm_zf_xp_291	ENSMUSG00000028068	ENSDARG00000098650	iqgap3
mm_zf_xp_292	ENSMUSG00000051036	NA	ttc24
mm_zf_xp_293	ENSMUSG00000051036	NA	LOC100493773
mm_zf_xp_294	ENSMUSG00000051036	NA	Xetrov90008732m
mm_zf_xp_295	ENSMUSG00000028070	NA	apoa1bp
mm_zf_xp_296	ENSMUSG00000028069	ENSDARG00000091931	gpatch4
mm_zf_xp_297	ENSMUSG00000004894	ENSDARG00000003903	hapln2
mm_zf_xp_298	ENSMUSG00000004892	ENSDARG00000099412	NA
mm_zf_xp_299	ENSMUSG00000004891	NA	nes
mm_zf_xp_300	ENSMUSG00000004885	ENSDARG00000073978	crabp2
mm_zf_xp_301	ENSMUSG00000004885	ENSDARG00000030449	crabp2
mm_zf_xp_302	ENSMUSG00000004896	ENSDARG00000089033	LOC100327245
mm_zf_xp_303	ENSMUSG00000019710	ENSDARG00000019222	Xetrov90022255m
mm_zf_xp_304	ENSMUSG00000004897	NA	hdgf
mm_zf_xp_305	ENSMUSG00000004895	ENSDARG00000063252	prcc
mm_zf_xp_306	ENSMUSG00000028072	ENSDARG00000004586	ntrk1
mm_zf_xp_307	ENSMUSG00000005640	NA	LOC101731824
mm_zf_xp_308	ENSMUSG00000005640	NA	insrr
mm_zf_xp_309	ENSMUSG00000028073	NA	Xetrov90022265m
mm_zf_xp_310	ENSMUSG00000023084	ENSDARG00000036412	lrrc71
mm_zf_xp_311	ENSMUSG00000041977	ENSDARG00000052482	arhgef11-like
mm_zf_xp_312	ENSMUSG00000003382	NA	etv3l
mm_zf_xp_313	ENSMUSG00000015854	NA	Xetrov90018992m
mm_zf_xp_314	ENSMUSG00000005338	ENSDARG00000057013	LOC100490204-like
mm_zf_xp_315	ENSMUSG00000005339	ENSDARG00000071463	NA
mm_zf_xp_316	ENSMUSG00000005339	ENSDARG00000097702	NA
mm_zf_xp_317	ENSMUSG00000026542	ENSDARG00000045089	NA
mm_zf_xp_318	ENSMUSG00000037942	ENSDARG00000045089	NA
mm_zf_xp_319	ENSMUSG00000026544	ENSDARG00000089245	dusp23
mm_zf_xp_320	ENSMUSG00000026544	ENSDARG00000009844	dusp23
mm_zf_xp_321	ENSMUSG00000053318	NA	Xetrov90022430m
mm_zf_xp_322	ENSMUSG00000049598	ENSDARG00000054050	NA
mm_zf_xp_323	ENSMUSG00000026546	ENSDARG00000068103	cfap45
mm_zf_xp_324	ENSMUSG00000026547	NA	tagln2
mm_zf_xp_325	ENSMUSG00000037995	NA	igsf9
mm_zf_xp_326	ENSMUSG00000026548	NA	Xetrov90022352m
mm_zf_xp_327	ENSMUSG00000044708	ENSDARG00000090815	kcnj10
mm_zf_xp_328	ENSMUSG00000050229	ENSDARG00000024277	pigm
mm_zf_xp_329	ENSMUSG00000038026	ENSDARG00000061636	NA
mm_zf_xp_330	ENSMUSG00000038034	ENSDARG00000038467	NA
mm_zf_xp_331	ENSMUSG00000007097	ENSDARG00000010472	atp1a2
mm_zf_xp_332	ENSMUSG00000007122	NA	casq1
mm_zf_xp_333	ENSMUSG00000013698	ENSDARG00000079771	pea15
mm_zf_xp_334	ENSMUSG00000026554	ENSDARG00000000324	dcaf8
mm_zf_xp_335	ENSMUSG00000003464	ENSDARG00000004891	NA
mm_zf_xp_336	ENSMUSG00000003464	ENSDARG00000004891	NA
mm_zf_xp_337	ENSMUSG00000026553	ENSDARG00000004173	copa
mm_zf_xp_338	ENSMUSG00000003458	ENSDARG00000103284	Xetrov90022373m
mm_zf_xp_339	ENSMUSG00000051251	NA	nhlh1
mm_zf_xp_340	ENSMUSG00000026556	ENSDARG00000027397	vangl2
mm_zf_xp_341	ENSMUSG00000038147	NA	LOC100497612
mm_zf_xp_342	ENSMUSG00000038147	NA	LOC100490206
mm_zf_xp_343	ENSMUSG00000038147	NA	LOC100492039
mm_zf_xp_344	ENSMUSG00000038147	NA	LOC100498477
mm_zf_xp_345	ENSMUSG00000038147	NA	Xetrov90027062m
mm_zf_xp_346	ENSMUSG00000038147	NA	LOC100488866-like
mm_zf_xp_347	ENSMUSG00000038147	NA	LOC100498635
mm_zf_xp_348	ENSMUSG00000038147	NA	LOC100488729
mm_zf_xp_349	ENSMUSG00000038147	NA	LOC101732875-like
mm_zf_xp_350	ENSMUSG00000015316	NA	LOC100489858
mm_zf_xp_351	ENSMUSG00000015316	NA	Xetrov90022354m
mm_zf_xp_352	ENSMUSG00000015355	ENSDARG00000098461	LOC100496031-like
mm_zf_xp_353	ENSMUSG00000038179	NA	Xetrov90022367m
mm_zf_xp_354	ENSMUSG00000004707	NA	LOC100494772
mm_zf_xp_355	ENSMUSG00000004707	NA	LOC101730355
mm_zf_xp_356	ENSMUSG00000004709	ENSDARG00000077309	NA
mm_zf_xp_357	ENSMUSG00000004709	ENSDARG00000079657	NA
mm_zf_xp_358	ENSMUSG00000038209	NA	itln2
mm_zf_xp_359	ENSMUSG00000038209	NA	itln1
mm_zf_xp_360	ENSMUSG00000038235	ENSDARG00000017320	NA
mm_zf_xp_361	ENSMUSG00000038235	ENSDARG00000068114	NA
mm_zf_xp_362	ENSMUSG00000103711	ENSDARG00000071567	tstd3
mm_zf_xp_363	ENSMUSG00000026641	ENSDARG00000041689	NA
mm_zf_xp_364	ENSMUSG00000026641	ENSDARG00000014463	NA
mm_zf_xp_365	ENSMUSG00000048865	NA	LOC100496292
mm_zf_xp_366	ENSMUSG00000006411	NA	LOC101734085
mm_zf_xp_367	ENSMUSG00000006411	NA	pvrl4
mm_zf_xp_368	ENSMUSG00000045259	ENSDARG00000015990	klhdc9-like
